Position,Name,Club,Category,Time
1,Tom Spencer,Dark peak,M,00:30:41
2,Alistair Thornton,Ochil Hill Runners,M,00:36:27
3,David Lawson,Queen's Park AC,M,00:37:13
4,Naomi Lang,Carnethy HRC,F,00:37:30
5,Craig Gallacher,Westerlands CCC,M40,00:38:14
6,Robin Wilkins,Ochil Hill Runners,M40,00:38:36
7,Gregor Stewart,Westerlands CCC,M,00:38:59
8,Will Beresford,Westerlands CCC,M,00:40:20
9,Iain MacCorquodale,Cambuslang Harriers,M40,00:40:45
10,James MacLeod,Garscube Harriers,M40,00:41:41
11,Ella Peters,Westerlands CCC,F,00:42:20
12,Arran Horne,Westerlands CCC,M,00:42:39
13,Edward Watson,Queen's Park AC,M,00:42:58
14,Ross Cruickshanks,Queen's Park AC,M,00:43:03
15,Scott Henderson,Westerlands CCC,M40,00:43:10
16,Joe Waite,Westerlands CCC,M,00:43:11
17,Grant Baxter,Ochil Hill Runners,M50,00:43:22
18,Ellen Downs,Westerlands CCC,F,00:43:31
19,Michael Delaney,Westerlands CCC,M,00:43:55
20,Alasdair Maciver,Westerlands CCC,M,00:44:22
21,Hector Friend,Unattached,M,00:44:27
22,Calum Edenborough,Unattached,M,00:44:45
23,David Allsop,Kirkintilloch Olympians,M50,00:44:49
24,Felton Humble,Westerlands CCC,M40,00:46:11
25,Flora Henry,Glasgow University Hares and Hounds,F,00:46:17
26,Max Williamson,Westerlands CCC,M,00:46:31
27,Paul Foster,Westerlands CCC,M,00:46:32
28,Gordon Mackinnon,Lochaber AC,M50,00:46:50
29,James Bryson,Westerlands,M,00:47:00
30,Don Reid,Westerlands CCC,M60,00:47:18
31,Ross Crawford,Queen's Park AC,M40,00:47:28
32,Robbie Martin,Unattached,M40,00:47:53
33,Rhu White,SRC,M,00:47:56
34,Micky Anderson,Westerlands CCC,M60,00:48:00
35,Mark Wheeler,Hamilton harriers,M40,00:48:16
36,Myrtle Breckenridge,Queen's Park AC,F,00:48:54
37,Kevin Nairn,Dunoon hill runners,M50,00:48:59
38,Conor Kenny,Westerlands CCC,M,00:49:03
39,Ewan Hemingway,Ochil Hill Runners,M,00:49:07
40,Mia Padmanabhan,Garscube Harriers,F,00:49:33
41,Simon Gardner,HAAC,M,00:50:02
42,Lucy Ring,Unattached,F,00:50:16
43,Katie Meek,Queen's Park AC,F,00:50:21
44,John Stevenson,Ochil Hill Runners,M60,00:50:33
45,Ian Garnett,Westerlands CCC,M40,00:50:49
46,Osian Spencer,Westerlands CCC,M,00:50:52
47,Gareth Brown,North Ayrshire AC,M40,00:50:54
48,Glen Fullarton,Unattached,M,00:51:06
49,Bryan Fitzpatrick,Dunoon hill runners,M40,00:51:09
50,Kai Wheeler,Calderglen harriers,M,00:51:45
51,Gerard Pelegr�,Queen's Park AC,M,00:51:50
52,Ali Black,Carnethy HRC,M40,00:52:14
53,Stuart Brodie,Ochil Hill Runners,M40,00:52:26
54,Scarlett Kelly,Ochil Hill Runners,F,00:52:28
55,Stephen Bogle,Dumyat Dudes,M40,00:52:38
56,Alasdair Meldrum,Ayr Seaforth,M50,00:52:41
57,Daniel Williams,Westerlands CCC,M,00:52:48
58,Alastair Ewen,Unattached,M50,00:52:56
59,Alasdair Robertson,Glasgow Triathlon Club,M40,00:52:58
60,Christopher McKiddie,Dunbar AC,M40,00:53:06
61,Maggie Ulyatt,Westerlands CCC,F,00:53:08
62,Chris McGlennon,Westerlands CCC,M50,00:53:09
63,Owen O'Neill,Westerlands CCC,M40,00:53:10
64,Chris Furse,Westerlands CCC,M50,00:53:18
65,Lewis Scremin,Unattached,M50,00:53:27
66,Lisa Blackley,Ochil Hill Runners,F40,00:53:51
67,Graham Kelly,Westerlands CCC,M50,00:53:57
68,Karen Patel,Westerlands CCC,F50,00:53:58
69,Jonathan Weir,Unattached,M40,00:54:09
70,Ben Eckton,Unattached,M,00:54:31
71,Nicola Dawson,Westerlands CCC,F40,00:56:01
72,Roderick Pugh,Kilmarnock Harriers,M70,00:56:18
73,Fiona Comrie,North Ayrshire AC,F50,00:56:30
74,eddie crawford,Unattached,M50,00:56:32
75,Peter McGowan,Westerlands CCC,M40,00:57:00
76,Stuart Lampard,Unattached,M60,00:57:01
77,Amelia Brown,Westerlands CCC,F,00:57:23
78,Dan Gates,Westerlands CCC,M50,00:57:29
79,Jenny Peebles,Westerlands CCC,F40,00:57:54
80,John Donnelly,Ochil hill runners,M50,00:58:29
81,Paul Strachan,Westerlands CCC,M70,00:59:02
82,Susan Lindsay,Ochil Hill Runners,F50,00:59:19
83,Steven Glasgow,Westerlands CCC,M,00:59:45
84,Fiona Janzen,Westerlands CCC,F,01:00:24
85,Kay McGreevy,Unattached,F60,01:00:31
86,Glynn Jones,Cumberland Fell Runners,M70,01:00:44
87,Jacob Fitzgerald,Dumyat Dudes,M40,01:01:06
88,Sean Garey,Unattached,M,01:01:52
89,Jack Dadswell,Unattached,M,01:03:16
90,Helen Rountree,Ochil Hill Runners,F,01:03:59
91,Susan Breckenridge,Queen's Park AC,F50,01:06:58
92,Duncan Marsh,Dark peak,M50,01:08:58
93,Barry Ure,Unattached,M40,01:14:00
94,Jennifer Ure,wee county harriers,F40,01:15:42
