Position,Name,Club,Category,Time,Team,Leg
1,Alistair Masson,,,00:37:17,Carnethy - Men's A,1
1,Eddie Narbett,,,00:53:19,Carnethy - Men's A,2
1,Luke Fisher,,,00:53:19,Carnethy - Men's A,2
1,Kieran Cooper,,,00:50:22,Carnethy - Men's A,3
1,Csoban Balogh,,,00:50:22,Carnethy - Men's A,3
1,Finn Lydon,,,00:26:47,Carnethy - Men's A,4
2,Jamie Goodge,,,00:37:15,Carnethy - Men's B,1
2,Colm Moran,,,00:55:55,Carnethy - Men's B,2
2,Daniel Stansfield,,,00:55:55,Carnethy - Men's B,2
2,Sasha Chepelin,,,00:52:43,Carnethy - Men's B,3
2,Eoin Lennon,,,00:52:43,Carnethy - Men's B,3
2,Joe Wright,,,00:26:38,Carnethy - Men's B,4
3,Daniel Bradford,,,00:36:42,Shettleston Harriers - Mens A,1
3,Robert Simpson,,,00:58:14,Shettleston Harriers - Mens A,2
3,Fred Davies,,,00:58:14,Shettleston Harriers - Mens A,2
3,Dan Dry,,,00:52:43,Shettleston Harriers - Mens A,3
3,Joe Symonds,,,00:52:43,Shettleston Harriers - Mens A,3
3,Calum Harrington Vogt,,,00:28:13,Shettleston Harriers - Mens A,4
4,Andrew Douglas,,,00:36:01,Westies Men A,1
4,Gregor Stewart,,,00:59:52,Westies Men A,2
4,Sam Alexander,,,00:59:52,Westies Men A,2
4,Stu Crutchfield,,,00:56:47,Westies Men A,3
4,Craig Gallacher,,,00:56:47,Westies Men A,3
4,Cameron Swanson,,,00:27:35,Westies Men A,4
5,Rory Abernethy,,,00:36:46,Ochils Senior Men,1
5,Gregor Malcolm,,,00:58:40,Ochils Senior Men,2
5,Alastair Graves,,,00:58:40,Ochils Senior Men,2
5,Jack Taylor,,,00:55:54,Ochils Senior Men,3
5,Jonno Pybus,,,00:55:54,Ochils Senior Men,3
5,Alasdair McLeod,,,00:29:42,Ochils Senior Men,4
6,Ross Spalding,,,00:37:12,Felkour Squad,1
6,Fergus Roberts,,,00:54:05,Felkour Squad,2
6,James Espie,,,00:54:05,Felkour Squad,2
6,Sam Fisher,,,00:50:40,Felkour Squad,3
6,Alistair Thornton,,,00:50:40,Felkour Squad,3
6,Marc Austin,,,00:40:47,Felkour Squad,4
7,Andy Macrae,,,00:39:36,Carnethy - MV40,1
7,Andy Fallas,,,01:00:33,Carnethy - MV40,2
7,Eliot Sedman,,,01:00:33,Carnethy - MV40,2
7,Mike Reid,,,00:54:59,Carnethy - MV40,3
7,Dessie Flanagan,,,00:54:59,Carnethy - MV40,3
7,Andy Lamont,,,00:31:05,Carnethy - MV40,4
8,Rob Sinclair,,,00:36:33,Highland Hill Runners (+ Iain Gilmour),1
8,Andrew Gilmour,,,00:59:08,Highland Hill Runners (+ Iain Gilmour),2
8,Iain Gilmour,,,00:59:08,Highland Hill Runners (+ Iain Gilmour),2
8,Luke Taylor,,,00:57:11,Highland Hill Runners (+ Iain Gilmour),3
8,Ally Beaven,,,00:57:11,Highland Hill Runners (+ Iain Gilmour),3
8,Chris Wilkinson,,,00:34:04,Highland Hill Runners (+ Iain Gilmour),4
9,Andrew Grant,,,00:40:41,Strathearn Stags,1
9,Tom Harris,,,00:59:07,Strathearn Stags,2
9,Ralph McInally,,,00:59:07,Strathearn Stags,2
9,Jon Turnbull,,,00:59:37,Strathearn Stags,3
9,Graeme Warren,,,00:59:37,Strathearn Stags,3
9,Harris Pagett,,,00:27:56,Strathearn Stags,4
10,Kai Hugtenberg,,,00:37:08,Hunters Bog Trotters - Heather Bashing Technicians,1
10,John Ockenden,,,01:03:13,Hunters Bog Trotters - Heather Bashing Technicians,2
10,Doug Tullie,,,01:03:13,Hunters Bog Trotters - Heather Bashing Technicians,2
10,Graeme Kafka,,,00:58:37,Hunters Bog Trotters - Heather Bashing Technicians,3
10,Dave Ward,,,00:58:37,Hunters Bog Trotters - Heather Bashing Technicians,3
10,Pete Gardener,,,00:31:53,Hunters Bog Trotters - Heather Bashing Technicians,4
11,Rodrigo Lara Molina,,,00:38:25,Carnethy - Men's C,1
11,Ifan Oldfield,,,01:08:10,Carnethy - Men's C,2
11,Iain Whiteside,,,01:08:10,Carnethy - Men's C,2
11,Jack McKenna,,,00:54:35,Carnethy - Men's C,3
11,Ben Laverick,,,00:54:35,Carnethy - Men's C,3
11,Tomm Murtagh,,,00:35:59,Carnethy - Men's C,4
12,Paul Manson,,,00:43:40,Shettleston Harriers - Mens B,1
12,Ross Cruickshanks,,,01:05:02,Shettleston Harriers - Mens B,2
12,Andrew Shields,,,01:05:02,Shettleston Harriers - Mens B,2
12,Angus Rodney,,,01:02:35,Shettleston Harriers - Mens B,3
12,Donnie Buglas,,,01:02:35,Shettleston Harriers - Mens B,3
12,Harry Pulham,,,00:27:33,Shettleston Harriers - Mens B,4
13,Andrew Davis,,,00:39:43,Ochil Hill Runners - Roaring Forties,1
13,Steve Feltbower,,,01:02:44,Ochil Hill Runners - Roaring Forties,2
13,Robin Wilkins,,,01:02:44,Ochil Hill Runners - Roaring Forties,2
13,Bob Wiseman,,,01:02:05,Ochil Hill Runners - Roaring Forties,3
13,David Wallace,,,01:02:05,Ochil Hill Runners - Roaring Forties,3
13,Ian Tuck,,,00:34:38,Ochil Hill Runners - Roaring Forties,4
14,Laura Dozier,,,00:48:06,Carnethy - Mixed Senior,1
14,Dan Ashwood,,,00:57:18,Carnethy - Mixed Senior,2
14,Thomas Otton,,,00:57:18,Carnethy - Mixed Senior,2
14,Helen Fallas,,,01:06:06,Carnethy - Mixed Senior,3
14,Jasmin Paris,,,01:06:06,Carnethy - Mixed Senior,3
14,Sam Hooper,,,00:28:19,Carnethy - Mixed Senior,4
15,Glenn Barclay,,,00:42:30,TopS,1
15,Ben Kinninmonth,,,01:02:38,TopS,2
15,Liam Hutson,,,01:02:38,TopS,2
15,Kevin Wallace,,,01:00:16,TopS,3
15,Thomas Gambino,,,01:00:16,TopS,3
15,Jamie Greig,,,00:34:36,TopS,4
16,Iain Pender,,,00:39:31,Shettleston Harriers - Mens Veterans,1
