Position,Name,Club,Category,Time,Team,Leg
1,S Whitlie,,,0:33:28,Carnethy A,1
1,A Ward,,,0:33:28,Carnethy A,1
1,M Johnston,,,00:25:36,Carnethy A,2
1,A Davis,,,00:58:20,Carnethy A,3
1,A Anderson,,,00:58:20,Carnethy A,3
1,L Ottomoler,,,00:30:52,Carnethy A,4
2,D Godfree,,,00:36:42,Lothian A,1
2,S Milne,,,00:36:42,Lothian A,1
2,G Ackland,,,00:25:55,Lothian A,2
2,D Halliday,,,01:00:36,Lothian A,3
2,A Kitchen,,,01:00:36,Lothian A,3
2,C Meek,,,00:30:19,Lothian A,4
3,N Scott,,,00:37:35,Westerlands,1
3,C Upson,,,00:37:35,Westerlands,1
3,D Rodwell,,,00:27:07,Westerlands,2
3,M Gorman,,,00:58:28,Westerlands,3
3,R Gallacher,,,00:58:28,Westerlands,3
3,S McLoone,,,00:31:14,Westerlands,4
4,A Anthony,,,00:33:32,Ochil Young Guns,1
4,I Wellock,,,00:33:32,Ochil Young Guns,1
4,J MacDonald,,,00:29:07,Ochil Young Guns,2
4,J Stevenson,,,01:03:19,Ochil Young Guns,3
4,S Simpson,,,01:03:19,Ochil Young Guns,3
4,J Clark,,,00:34:01,Ochil Young Guns,4
5,D Hirst,,,00:40:59,Deeside,1
5,C Richards,,,00:40:59,Deeside,1
5,R Coombs,,,00:29:42,Deeside,2
5,A Smith,,,01:03:00,Deeside,3
5,J Musgrave,,,01:03:00,Deeside,3
5,D Coombs,,,00:31:53,Deeside,4
6,B Sueridon,,,00:40:05,Cosmic A,1
6,K Robertson,,,00:40:05,Cosmic A,1
6,J Reeve,,,00:28:55,Cosmic A,2
6,D Armitage,,,01:05:24,Cosmic A,3
6,D McDonald,,,01:05:24,Cosmic A,3
6,A White,,,00:33:36,Cosmic A,4
7,D Murray,,,00:40:12,Ochil Old Gits,1
7,E Mackay,,,00:40:12,Ochil Old Gits,1
7,P Buchanan,,,00:28:41,Ochil Old Gits,2
7,D Scott,,,01:07:03,Ochil Old Gits,3
7,R Watson,,,01:07:03,Ochil Old Gits,3
7,R McCraw,,,00:35:25,Ochil Old Gits,4
8,L Anderson,,,0:41:08,Fife Vets 1,1
8,S Knowles,,,0:41:08,Fife Vets 1,1
8,R Mill,,,0:30:23,Fife Vets 1,2
8,T Scott,,,1:07:32,Fife Vets 1,3
8,N Martin,,,1:07:32,Fife Vets 1,3
8,J Thomson,,,0:32:35,Fife Vets 1,4
9,N Paton,,,00:45:23,Standard Life A,1
9,D Shanks,,,00:45:23,Standard Life A,1
9,D Gibson,,,00:30:45,Standard Life A,2
9,B Smith,,,01:05:25,Standard Life A,3
9,A Brown,,,01:05:25,Standard Life A,3
9,B Devox,,,00:34:39,Standard Life A,4
10,M Robertson,,,00:39:59,Lothian B,1
10,D Simmons,,,00:39:59,Lothian B,1
10,S Cottom,,,00:27:09,Lothian B,2
10,T Brannan,,,01:10:36,Lothian B,3
10,C Eades,,,01:10:36,Lothian B,3
10,R Lee,,,00:38:49,Lothian B,4
11,M Galloway,,,00:45:25,Dundee Hawkhill,1
11,M Mitchell,,,00:45:25,Dundee Hawkhill,1
11,S Kerr,,,00:31:34,Dundee Hawkhill,2
11,G Watson,,,01:06:42,Dundee Hawkhill,3
11,C Love,,,01:06:42,Dundee Hawkhill,3
11,S Mason,,,00:33:02,Dundee Hawkhill,4
12,N Young,,,00:38:32,Fife A,1
12,E Simpson,,,00:38:32,Fife A,1
12,C Russell,,,00:27:00,Fife A,2
12,I Overton,,,01:21:03,Fife A,3
12,G Bee,,,01:21:03,Fife A,3
12,R Clark,,,00:31:33,Fife A,4
13,S Legge,,,00:44:45,EZ Carnegie H Mixed,1
13,J Turner,,,00:44:45,EZ Carnegie H Mixed,1
13,P Morrison,,,00:29:07,EZ Carnegie H Mixed,2
13,R Cunningham,,,01:06:13,EZ Carnegie H Mixed,3
13,P Humphreys,,,01:06:13,EZ Carnegie H Mixed,3
13,K Baird,,,00:38:13,EZ Carnegie H Mixed,4
14,B McLeery,,,00:50:17,Pitreavie,1
14,G Whitfield,,,00:50:17,Pitreavie,1
14,B Davie,,,00:29:45,Pitreavie,2
14,C Watson,,,01:01:31,Pitreavie,3
14,S Irwin,,,01:01:31,Pitreavie,3
14,D Simpson,,,00:37:21,Pitreavie,4
15,D Naylor,,,00:47:39,HBT,1
15,D Naylor,,,00:29:46,HBT,2
15,D Naylor,,,01:14:55,HBT,3
15,D Naylor,,,00:28:42,HBT,4
16,S Biggar,,,00:44:09,Fife C,1
16,I Poolman,,,00:44:09,Fife C,1
16,M Laing,,,00:29:07,Fife C,2
16,B Smith,,,01:12:20,Fife C,3
16,A Bagnall,,,01:12:20,Fife C,3
16,M Scobie,,,00:37:07,Fife C,4
17,S Gough,,,00:44:21,Westerlands B,1
17,D Riach,,,00:44:21,Westerlands B,1
17,B Bonnyman,,,00:29:53,Westerlands B,2
17,S Gorgas,,,01:08:55,Westerlands B,3
17,T Richens,,,01:08:55,Westerlands B,3
17,B Millen,,,00:39:43,Westerlands B,4
18,G McIntyre,,,00:45:31,Dundee Road Runners,1
18,S Farmery,,,00:45:31,Dundee Road Runners,1
18,M Breen,,,?:??:??,Dundee Road Runners,2
18,A Lawson,,,?:??:??,Dundee Road Runners,3
18,G Stewart,,,?:??:??,Dundee Road Runners,3
18,T McParland,,,00:35:28,Dundee Road Runners,4
19,G Cameron,,,00:44:19,Carnethy B,1
19,Rudolfo,,,00:44:19,Carnethy B,1
19,P Ritchie,,,00:29:06,Carnethy B,2
19,B Howie,,,01:17:35,Carnethy B,3
19,C Pritchard,,,01:17:35,Carnethy B,3
19,M Johnston,,,00:33:02,Carnethy B,4
20,J Laing,,,00:47:35,Carnegie Vets,1
20,N Campbell,,,00:47:35,Carnegie Vets,1
20,I Johnston,,,00:28:57,Carnegie Vets,2
20,T Bowie,,,01:14:28,Carnegie Vets,3
20,D McGarry,,,01:14:28,Carnegie Vets,3
20,A Hunter,,,00:33:16,Carnegie Vets,4
21,D Rogers,,,?:??:??,Westerlands,1
21,P Baxter,,,?:??:??,Westerlands,1
21,M Ogston,,,?:??:??,Westerlands,2
21,D Reid,,,01:08:36,Westerlands,3
21,J Donnely,,,01:08:36,Westerlands,3
21,D Calder,,,00:34:53,Westerlands,4
22,A Brierley,,,00:37:46,Fife,1
22,C McAdam,,,00:34:50,Fife,2
22,D Campbell,,,01:14:02,Fife,3
22,R Shaw,,,01:14:02,Fife,3
22,S Moffatt,,,00:38:57,Fife,4
23,B Sturrock,,,00:43:48,Wee County Harriers,1
23,R Pews,,,00:43:48,Wee County Harriers,1
23,S Keenan,,,00:33:17,Wee County Harriers,2
23,M Quinn,,,01:14:22,Wee County Harriers,3
23,D McAra,,,01:14:22,Wee County Harriers,3
23,R McKenzie,,,00:36:56,Wee County Harriers,4
24,W Gibson,,,00:44:20,Carnethy Vets,1
24,R Bearhop,,,00:44:20,Carnethy Vets,1
24,A Spenceley,,,00:29:20,Carnethy Vets,2
24,J Blair Fish,,,01:18:30,Carnethy Vets,3
24,H Chambers,,,01:18:30,Carnethy Vets,3
24,W Mykura,,,00:36:22,Carnethy Vets,4
25,M Mitchell,,,00:45:15,Fife B,1
25,N Fowler,,,00:45:15,Fife B,1
25,B Cruickshank,,,00:27:41,Fife B,2
25,J McPherson,,,01:11:12,Fife B,3
25,V MacPherson,,,01:11:12,Fife B,3
25,B Aitken,,,00:44:47,Fife B,4
26,S Hunter,,,00:49:36,The Lost Boys,1
26,N McCollum,,,00:49:36,The Lost Boys,1
26,J Aitken,,,00:30:38,The Lost Boys,2
26,M McCullagh,,,01:11:56,The Lost Boys,3
26,B McGuire,,,01:11:56,The Lost Boys,3
26,N George,,,00:36:52,The Lost Boys,4
27,G Barker,,,00:45:17,Fife D,1
27,A MacLeod,,,00:45:17,Fife D,1
27,G Thomson,,,00:31:24,Fife D,2
27,J MacFarlane,,,01:14:53,Fife D,3
27,A McGuire,,,01:14:53,Fife D,3
27,D Gunstone,,,00:37:29,Fife D,4
28,G Gardiner,,,00:46:16,Pitreavie Mixed,1
28,E Renouf,,,00:46:16,Pitreavie Mixed,1
28,J McCulloch,,,00:31:29,Pitreavie Mixed,2
28,C Simpson,,,01:09:44,Pitreavie Mixed,3
28,S Newsom,,,01:09:44,Pitreavie Mixed,3
28,H Bradley,,,00:42:26,Pitreavie Mixed,4
29,V Longhurst,,,00:57:08,Forth Valley Orienteers,1
29,L Longhurst,,,00:57:08,Forth Valley Orienteers,1
29,J Inman,,,00:31:50,Forth Valley Orienteers,2
29,F Purves,,,01:07:15,Forth Valley Orienteers,3
29,M Pinker,,,01:07:15,Forth Valley Orienteers,3
29,K Heron,,,00:33:49,Forth Valley Orienteers,4
30,R Gatehouse,,,00:48:32,Lomond Hill Runners Vets,1
30,D Osborn,,,00:48:32,Lomond Hill Runners Vets,1
30,A Graham,,,00:34:51,Lomond Hill Runners Vets,2
30,D McLean,,,01:14:05,Lomond Hill Runners Vets,3
30,G Pryde,,,01:14:05,Lomond Hill Runners Vets,3
30,D Muir,,,00:35:03,Lomond Hill Runners Vets,4
31,M Wombwell,,,00:39:16,Beacon 3,1
31,S Wombwell,,,00:39:16,Beacon 3,1
31,N Hill,,,00:32:22,Beacon 3,2
31,A Bowman,,,01:18:12,Beacon 3,3
31,M MacFee,,,01:18:12,Beacon 3,3
31,S McQueen,,,00:44:16,Beacon 3,4
32,P Larkin,,,00:49:10,Cosmic Hillbashers B,1
32,D Johnston,,,00:49:10,Cosmic Hillbashers B,1
32,A Balin,,,00:31:30,Cosmic Hillbashers B,2
32,C Larmour,,,01:13:20,Cosmic Hillbashers B,3
32,M Stone,,,01:13:20,Cosmic Hillbashers B,3
32,P Ferguson,,,00:40:25,Cosmic Hillbashers B,4
33,P Salter,,,00:45:21,Fife Junior Males,1
33,R Ritchie,,,00:45:21,Fife Junior Males,1
33,M Harley,,,00:30:49,Fife Junior Males,2
33,A Evans,,,01:13:10,Fife Junior Males,3
33,T Ross,,,01:13:10,Fife Junior Males,3
33,A Hood & T Ross,,,00:45:28,Fife Junior Males,4
34,J Dobson,,,00:56:20,Kinross Road Runners,1
34,A Hamill,,,00:56:20,Kinross Road Runners,1
34,G Malcolm,,,00:27:58,Kinross Road Runners,2
34,W Rennie,,,01:15:36,Kinross Road Runners,3
34,N Arnott,,,01:15:36,Kinross Road Runners,3
34,R Shah,,,00:36:40,Kinross Road Runners,4
35,J Osborne,,,00:52:34,Dundee Hawkhill B,1
35,M Welsh,,,00:52:34,Dundee Hawkhill B,1
35,T Wilkinson,,,00:29:57,Dundee Hawkhill B,2
35,A Stewart,,,01:15:09,Dundee Hawkhill B,3
35,C Love,,,01:15:09,Dundee Hawkhill B,3
35,S Cromar,,,00:39:05,Dundee Hawkhill B,4
36,R Stenhouse,,,00:45:41,Fife Ladies A,1
36,J Scott,,,00:45:41,Fife Ladies A,1
36,L Provan,,,00:35:28,Fife Ladies A,2
36,L Burt,,,01:12:36,Fife Ladies A,3
36,C Sinclair,,,01:12:36,Fife Ladies A,3
36,M McLaren,,,00:40:08,Fife Ladies A,4
37,B Knox,,,00:47:51,Teviotdale Harriers,1
37,C Nichol,,,00:47:51,Teviotdale Harriers,1
37,A Biggar,,,00:32:42,Teviotdale Harriers,2
37,R Halliday,,,01:23:06,Teviotdale Harriers,3
37,R Cranston,,,01:23:06,Teviotdale Harriers,3
37,B Fraser,,,00:35:32,Teviotdale Harriers,4
38,C Reid,,,00:45:27,Carnegie B,1
38,A Cockburn,,,00:45:27,Carnegie B,1
