Position,Name,Club,Category,Time,Team,Leg
1,Iain Whiteside,,,00:26:34,Carnethy Men A,1
1,Stewart Whitlie,,,01:04:31,Carnethy Men A,2
1,Paul Faulkner,,,01:04:31,Carnethy Men A,2
1,Konrad Rawlik,,,00:25:20,Carnethy Men A,3
1,Michael Reid & Andy Fallas,,,00:34:16,Carnethy Men A,4
2,Ewan Jack,,,00:28:10,Ochil Senior Men,1
2,Al Anthony,,,01:06:45,Ochil Senior Men,2
2,David Eiser,,,01:06:45,Ochil Senior Men,2
2,Grant Stewart,,,00:25:09,Ochil Senior Men,3
2,Bob Wiseman & Ross McLennon,,,00:35:28,Ochil Senior Men,4
3,Bryan Lamb,,,00:27:05,Bellahouston RR A,1
3,Matt Williamson,,,01:06:15,Bellahouston RR A,2
3,Mark Johnston,,,01:06:15,Bellahouston RR A,2
3,Greig Glendinning,,,00:26:32,Bellahouston RR A,3
3,Andy Birnie & Grant MacDondald,,,00:36:20,Bellahouston RR A,4
4,Zach Delaney,,,00:27:12,Anster Haddies C,1
4,Dell Rae,,,01:07:28,Anster Haddies C,2
4,Jonny Knox,,,01:07:28,Anster Haddies C,2
4,Bill Hutchison,,,00:27:04,Anster Haddies C,3
4,Ewan Lumsden & Dave Burgess,,,00:36:55,Anster Haddies C,4
5,Bill Breckenridge,,,00:28:13,Shettleston Men,1
5,Casey Morgan,,,01:10:47,Shettleston Men,2
5,Steve Winter,,,01:10:47,Shettleston Men,2
5,Thomas Fay,,,00:23:39,Shettleston Men,3
5,Adam Harris & Peter Mackie,,,00:36:01,Shettleston Men,4
6,Gregor Stewart,,,00:28:07,Westerlands A,1
6,Brian Bonnyman,,,01:06:49,Westerlands A,2
6,Manny Gorman,,,01:06:49,Westerlands A,2
6,Anthony Aimon,,,00:28:16,Westerlands A,3
6,Sam Alexander & Niall McAlinden,,,00:37:04,Westerlands A,4
7,Ronnie Gallacher,,,00:28:04,Carnethy Men V50,1
7,Steven Fallon,,,01:06:40,Carnethy Men V50,2
7,Adrian Davis,,,01:06:40,Carnethy Men V50,2
7,Willie Gibson,,,00:29:31,Carnethy Men V50,3
7,Adam Ward & Andy Spenceley,,,00:38:23,Carnethy Men V50,4
8,Charlotte Morgan,,,00:28:50,Carnethy Ladies A,1
8,Angela Mudge,,,01:06:20,Carnethy Ladies A,2
8,Jill Mykura,,,01:06:20,Carnethy Ladies A,2
8,Helen Bonsor,,,00:27:46,Carnethy Ladies A,3
8,Jacqui Higginbottom & Jane Jackson,,,00:42:43,Carnethy Ladies A,4
9,Mike Lynch,,,00:30:24,Carnethy Men V40,1
9,Jon Ascroft,,,01:12:39,Carnethy Men V40,2
9,Gregor Heron,,,01:12:39,Carnethy Men V40,2
9,Graham Nash,,,00:26:17,Carnethy Men V40,3
9,Simon Titmuss & Neil Burnett,,,00:38:55,Carnethy Men V40,4
10,James Gilroy,,,00:29:51,Strathearn Harriers Men,1
10,Will Manners,,,01:05:06,Strathearn Harriers Men,2
10,Colin Glencourse,,,01:05:06,Strathearn Harriers Men,2
10,Phil Tipping,,,00:29:01,Strathearn Harriers Men,3
10,Andy Greaves & James Alexander,,,00:46:27,Strathearn Harriers Men,4
11,Ally Robertson,,,00:27:55,Carnethy Men B,1
11,Tim Darlow,,,01:18:39,Carnethy Men B,2
11,Andrew Gilmore,,,01:18:39,Carnethy Men B,2
11,Iain Gilmore,,,00:27:05,Carnethy Men B,3
11,James Hardie & John Hammond,,,00:38:08,Carnethy Men B,4
12,Paul Leonard,,,00:29:25,DHH V40,1
12,Craig Love,,,01:12:45,DHH V40,2
12,Roger Van Gompel,,,01:12:45,DHH V40,2
12,Kevin McTavish,,,00:28:14,DHH V40,3
12,Mike Galloway & Steve Matthews,,,00:41:40,DHH V40,4
13,Jamie Ingledew,,,00:28:37,Fife AC Boys,1
13,Logan Rees,,,01:14:30,Fife AC Boys,2
13,Fergus Ingledew,,,01:14:30,Fife AC Boys,2
13,Tristan Rees,,,00:26:11,Fife AC Boys,3
13,Tom Harris & Ryan Brocklebank,,,00:43:35,Fife AC Boys,4
14,Ron McCraw,,,00:31:26,Ochil Vet Men,1
14,Andrea Priestly,,,01:19:58,Ochil Vet Men,2
14,Dave Scott,,,01:19:58,Ochil Vet Men,2
14,John Stevenson,,,00:26:00,Ochil Vet Men,3
14,Gary Fraser & Grant Baxter,,,00:36:45,Ochil Vet Men,4
15,Kate Jenkins,,,00:30:15,HBT Brown Birds,1
15,Tessa Hill,,,01:14:21,HBT Brown Birds,2
15,Claire Gordon,,,01:14:21,HBT Brown Birds,2
15,Eilidh Wardlaw,,,00:27:48,HBT Brown Birds,3
15,Megan Mowbray & Amelia Lloyd,,,00:41:51,HBT Brown Birds,4
16,Fiona Drake,,,00:33:10,Corstorphine AAC,1
16,Christopher O'Brien,,,01:13:42,Corstorphine AAC,2
16,Tom Ferrington,,,01:13:42,Corstorphine AAC,2
16,Tim Norwood,,,00:27:55,Corstorphine AAC,3
16,Scott Williamson & Alex Cumming,,,00:39:53,Corstorphine AAC,4
17,Steve Borland,,,00:30:20,DHH V50,1
17,Des Crowe,,,01:12:05,DHH V50,2
17,John Hepburn,,,01:12:05,DHH V50,2
17,Phil Forte,,,00:28:00,DHH V50,3
17,David Mitchell & Nigel Reynolds,,,00:44:53,DHH V50,4
18,Mike Harvey,,,00:28:38,Carnegie Harriers Men,1
18,Pete Simpson,,,01:12:04,Carnegie Harriers Men,2
18,Derek Cassells,,,01:12:04,Carnegie Harriers Men,2
18,Steve King,,,00:28:58,Carnegie Harriers Men,3
18,Ian Johnston & Pete Humphreys,,,00:46:02,Carnegie Harriers Men,4
19,Jon Rathjen,,,00:29:05,HBT Brown & Bar Stewards,1
19,Dave Fulton,,,01:18:42,HBT Brown & Bar Stewards,2
19,Craig Mattocks,,,01:18:42,HBT Brown & Bar Stewards,2
19,James Bowden,,,00:28:17,HBT Brown & Bar Stewards,3
19,Phil Mowbray & Dave Ward,,,00:40:53,HBT Brown & Bar Stewards,4
20,Jamie Provan,,,00:31:02,Westerlands B,1
20,Owen O'Neil,,,01:17:41,Westerlands B,2
20,David Riach,,,01:17:41,Westerlands B,2
20,Chris Upson,,,00:27:17,Westerlands B,3
20,Luke Arnott & Cameron Burt,,,00:41:13,Westerlands B,4
21,Brian Cruickshank,,,00:28:40,Fife AC & Male Vets,1
21,Neil Young,,,01:21:40,Fife AC & Male Vets,2
21,Giles Harris,,,01:21:40,Fife AC & Male Vets,2
21,Chris Russell,,,00:26:42,Fife AC & Male Vets,3
21,Graham Kirby & Brian Thomson,,,00:40:20,Fife AC & Male Vets,4
22,Ross Houston,,,00:24:59,Central AC A,1
22,Hugh Buchanan,,,01:19:40,Central AC A,2
22,Hugh Kerr,,,01:19:40,Central AC A,2
22,Liam McCabe,,,00:31:03,Central AC A,3
22,David Lindsay & Phil Williams,,,00:43:21,Central AC A,4
23,Craig Liddle,,,00:32:15,Lomond Hill & Runners Male,1
23,Fraser Scott,,,01:16:38,Lomond Hill & Runners Male,2
23,Donald MacKenzie,,,01:16:38,Lomond Hill & Runners Male,2
23,Marcus Keaveney,,,00:30:30,Lomond Hill & Runners Male,3
23,Laurie Anderson & Gordon Pryde,,,00:42:23,Lomond Hill & Runners Male,4
24,Frances Brown,,,00:35:45,Forth Valley Orienteers,1
24,Elke Prasad,,,01:11:40,Forth Valley Orienteers,2
24,Will Hensman,,,01:11:40,Forth Valley Orienteers,2
24,Trevor Hoey,,,00:34:20,Forth Valley Orienteers,3
24,Fraser Purves & Roger Goddard,,,00:40:32,Forth Valley Orienteers,4
25,Colin Meek,,,00:27:30,Lothian Running & Club B,1
25,Colin Partridge,,,01:21:45,Lothian Running & Club B,2
25,Edel Mooney,,,01:21:45,Lothian Running & Club B,2
25,Kenton Jones,,,00:31:43,Lothian Running & Club B,3
25,Owen Williams & Sarah Jones,,,00:43:37,Lothian Running & Club B,4
26,Duncan Hall,,,00:30:31,Anster Haddies D,1
26,Alex Anderson,,,01:22:32,Anster Haddies D,2
26,Stuart McKenzie,,,01:22:32,Anster Haddies D,2
26,Pete Nimmo,,,00:29:13,Anster Haddies D,3
26,Thomas Knox & Ronan McKinstray,,,00:44:00,Anster Haddies D,4
27,Keith Headridge,,,00:31:30,Forfar Hill Runners,1
27,Craig Stewart,,,01:18:19,Forfar Hill Runners,2
27,Andy Wilmshurst,,,01:18:19,Forfar Hill Runners,2
27,Ron Milne,,,00:33:27,Forfar Hill Runners,3
27,Stephen Connor & Brian Bonnyman,,,00:43:37,Forfar Hill Runners,4
28,John Hamer,,,00:34:38,Westerlands C,1
28,John Donnelly,,,01:21:21,Westerlands C,2
28,Steffen Gorgas,,,01:21:21,Westerlands C,2
28,David Riach,,,00:27:15,Westerlands C,3
28,Roderick Fleming & Ken MacMahon,,,00:44:16,Westerlands C,4
29,Gregor Malcolm,,,00:34:26,Kinross RR Male,1
29,Allan Kemp,,,01:18:16,Kinross RR Male,2
29,Andy Johns,,,01:18:16,Kinross RR Male,2
29,Graham Kemp,,,00:31:08,Kinross RR Male,3
29,Martin Hill & David Scott,,,00:43:42,Kinross RR Male,4
30,Sam Burgess,,,00:26:05,Deeside Lords,1
30,Alan Smith,,,01:43:12,Deeside Lords,2
30,Nick Mardall,,,01:43:12,Deeside Lords,2
30,Robbie Simpson,,,00:20:37,Deeside Lords,3
30,Donald Kerridge & Alan Sealy,,,00:38:48,Deeside Lords,4
31,Jonathan Whitehead,,,00:36:12,Carnethy Men C,1
31,Neil Gilmore,,,01:20:47,Carnethy Men C,2
31,Russell Sommerford,,,01:20:47,Carnethy Men C,2
31,Euan Inness,,,00:30:24,Carnethy Men C,3
31,Steven Yule & Matthew Jones,,,00:41:29,Carnethy Men C,4
32,Ron Martin,,,00:34:21,Ochil Mixed,1
32,Alayne Finlay,,,01:19:02,Ochil Mixed,2
32,Pete Buchanan,,,01:19:02,Ochil Mixed,2
32,Katy Baxter,,,00:32:12,Ochil Mixed,3
32,Davy Duncan & Fiona Kelsall,,,00:48:10,Ochil Mixed,4
33,Tony Martin,,,00:31:55,Fife AC Stags,1
33,Ian Hawkins,,,01:23:34,Fife AC Stags,2
33,Dave Cowan,,,01:23:34,Fife AC Stags,2
33,Stewart Leckie,,,00:32:24,Fife AC Stags,3
33,Neil Millar & Andy Milne,,,00:46:08,Fife AC Stags,4
34,Stephen Jones,,,00:35:03,Maryhill Harriers A,1
34,Duncan Riddell,,,01:23:37,Maryhill Harriers A,2
34,Simon Lees,,,01:23:37,Maryhill Harriers A,2
