Position,Name,Club,Category,Time,Team,Leg
1,Jethro Lennox,,,0:34:32,Shettleston Men,1
1,Tom Owens,,,0:34:32,Shettleston Men,1
1,James Tullie,,,0:26:46,Shettleston Men,2
1,Oleg Chepelin,,,0:55:16,Shettleston Men,3
1,Matt Sullivan,,,0:55:16,Shettleston Men,3
1,Casey Morgan,,,0:26:23,Shettleston Men,4
2,Neil Farnell,,,0:38:59,Bellahouston RR Mens A,1
2,Craig Ross,,,0:38:59,Bellahouston RR Mens A,1
2,Mark Johnston,,,0:25:32,Bellahouston RR Mens A,2
2,Kenny Richmond,,,0:55:01,Bellahouston RR Mens A,3
2,Peter Devenport,,,0:55:01,Bellahouston RR Mens A,3
2,Russel Whittington,,,0:27:25,Bellahouston RR Mens A,4
3,Dave Eiser,,,0:36:49,Ochil Mens,1
3,Bob Wiseman,,,0:36:49,Ochil Mens,1
3,Doug Allan,,,0:29:01,Ochil Mens,2
3,Al Anthony,,,0:54:29,Ochil Mens,3
3,Lewis Millar,,,0:54:29,Ochil Mens,3
3,Andy Gray,,,0:26:58,Ochil Mens,4
4,Ali Hubbard,,,0:38:11,Deeside Runners Men,1
4,Alan Sealy,,,0:38:11,Deeside Runners Men,1
4,Jon Musgrove,,,0:29:57,Deeside Runners Men,2
4,Robbie Simpson,,,0:54:26,Deeside Runners Men,3
4,Dan Whitehead,,,0:54:26,Deeside Runners Men,3
4,Alan Tait,,,0:29:19,Deeside Runners Men,4
5,Konrad Rawlik,,,0:37:39,Carnethy A,1
5,Jon Ascroft,,,0:37:39,Carnethy A,1
5,Tim Barlow,,,0:29:31,Carnethy A,2
5,John Mitchell,,,0:58:15,Carnethy A,3
5,Andy Fallas,,,0:58:15,Carnethy A,3
5,Sam Heisling,,,0:27:22,Carnethy A,4
6,Tim Norwood,,,0:38:58,Corstorphine AAC A,1
6,David Simpson,,,0:38:58,Corstorphine AAC A,1
6,Keith Hood,,,0:27:39,Corstorphine AAC A,2
6,Grant Wilkie,,,1:01:06,Corstorphine AAC A,3
6,Christopher O'Brien,,,1:01:06,Corstorphine AAC A,3
6,Bryan Clark,,,0:25:45,Corstorphine AAC A,4
7,Adam Gatens,,,0:36:04,Westerlands Mens A,1
7,Tim Austin,,,0:36:04,Westerlands Mens A,1
7,Cameron Burt,,,0:29:20,Westerlands Mens A,2
7,Chris Upson,,,1:01:01,Westerlands Mens A,3
7,Niall McAlinden,,,1:01:01,Westerlands Mens A,3
7,Brian Bonnyman,,,0:28:18,Westerlands Mens A,4
8,Dan Clements,,,0:42:02,HBT Redoubtables,1
8,Huw Jones,,,0:42:02,HBT Redoubtables,1
8,Murray Strain,,,0:22:43,HBT Redoubtables,2
8,Dan Gay,,,0:58:18,HBT Redoubtables,3
8,?,,,0:58:18,HBT Redoubtables,3
8,Pete McClelland,,,0:31:46,HBT Redoubtables,4
9,Adam Ward,,,0:38:40,Carnethy B,1
9,Steven Fallon,,,0:38:40,Carnethy B,1
9,Bruce Smith,,,0:27:19,Carnethy B,2
9,Stewart Whitlie,,,0:59:11,Carnethy B,3
9,Adrian Davis,,,0:59:11,Carnethy B,3
9,Gregor Heron,,,0:32:38,Carnethy B,4
10,Mike McGovern,,,0:37:18,Moorfoots,1
10,Darin Dougal,,,0:37:18,Moorfoots,1
10,Tom Hobbs,,,0:30:57,Moorfoots,2
10,James Britton,,,1:01:07,Moorfoots,3
10,Mike Reid,,,1:01:07,Moorfoots,3
10,Wull Hynd,,,0:29:07,Moorfoots,4
11,Andy Brierley,,,0:39:40,Fife Athletic Club,1
11,Brian Cruickshank,,,0:39:40,Fife Athletic Club,1
11,Colin Brown,,,0:29:50,Fife Athletic Club,2
11,Mark Harris,,,1:04:09,Fife Athletic Club,3
11,Neil Martin,,,1:04:09,Fife Athletic Club,3
11,Chris Russell,,,0:26:33,Fife Athletic Club,4
12,Paul Leonard,,,0:42:16,Dundee Hawks A,1
12,Ian McNulty,,,0:42:16,Dundee Hawks A,1
12,Steve Matthews,,,0:30:05,Dundee Hawks A,2
12,Roger Van Gompel,,,1:02:50,Dundee Hawks A,3
12,Craig Love,,,1:02:50,Dundee Hawks A,3
12,Gordon Barrie,,,0:27:59,Dundee Hawks A,4
13,Sam Alexander,,,0:42:12,Glasgow Uni A,1
13,Adam Peters,,,0:42:12,Glasgow Uni A,1
13,Ruth Joss,,,0:28:49,Glasgow Uni A,2
13,David Houston,,,1:07:37,Glasgow Uni A,3
13,Bryan McLelland,,,1:07:37,Glasgow Uni A,3
13,Mike Deason,,,0:25:22,Glasgow Uni A,4
14,Steven King,,,0:42:28,Carnegie Harriers,1
14,Derek Cassels,,,0:42:28,Carnegie Harriers,1
14,Alan Cockburn,,,0:30:56,Carnegie Harriers,2
14,Pete Simpson,,,1:02:54,Carnegie Harriers,3
14,Ritchie Cunningham,,,1:02:54,Carnegie Harriers,3
14,Pete Humphries,,,0:28:04,Carnegie Harriers,4
15,Alastair Pringle,,,0:41:44,Shettleston Vets,1
