Position,Name,Club,Category,Time,Team,Leg
1,Adrian Davis,,,00:37:26,Carnethy HRC Male “A”,1
1,Simon Peachy,,,00:37:26,Carnethy HRC Male “A”,1
1,Mark Johnston,,,00:25:04,Carnethy HRC Male “A”,2
1,Adam Ward,,,00:57:15,Carnethy HRC Male “A”,3
1,Stuart Whitlie,,,00:57:15,Carnethy HRC Male “A”,3
1,Lars Ottemoller,,,00:27:39,Carnethy HRC Male “A”,4
2,John Hargrieves,,,00:37:20,Carnegie Harriers Senior 1,1
2,Tommy Lawrence,,,00:37:20,Carnegie Harriers Senior 1,1
2,Andy Symonds,,,00:24:23,Carnegie Harriers Senior 1,2
2,Sandy Bennet,,,00:59:27,Carnegie Harriers Senior 1,3
2,Richie Cunningham,,,00:59:27,Carnegie Harriers Senior 1,3
2,Lewis Lawson,,,00:28:46,Carnegie Harriers Senior 1,4
3,Alastair Anthony,,,00:35:25,Ochil Young Guns,1
3,Ian Wellock,,,00:35:25,Ochil Young Guns,1
3,Nick Leslie,,,00:26:43,Ochil Young Guns,2
3,Stuart Simpson,,,01:05:02,Ochil Young Guns,3
3,Paul Fettes,,,01:05:02,Ochil Young Guns,3
3,Ross Houston,,,00:28:04,Ochil Young Guns,4
4,Chris Upson,,,00:38:11,Westerlands “A”,1
4,Manuel Gorman,,,00:38:11,Westerlands “A”,1
4,Scott McKendrick,,,00:29:11,Westerlands “A”,2
4,Damon Rodwell,,,01:03:06,Westerlands “A”,3
4,David Riach,,,01:03:06,Westerlands “A”,3
4,Brian Bonnyman,,,00:29:20,Westerlands “A”,4
5,Jez Tomlinson,,,00:38:11,Fife Men Vets,1
5,Brian Cruickshank,,,00:38:11,Fife Men Vets,1
5,John Kay,,,00:27:19,Fife Men Vets,2
5,Terry Mitchell,,,01:04:58,Fife Men Vets,3
5,Tom Scott,,,01:04:58,Fife Men Vets,3
5,John Thomson,,,00:29:56,Fife Men Vets,4
6,Ken MacMahon,,,00:40:26,Bellahouston RR,1
6,Marcos Sanz,,,00:40:26,Bellahouston RR,1
6,Scott Kennedy,,,00:28:03,Bellahouston RR,2
6,Andy Birnie,,,01:05:42,Bellahouston RR,3
6,Colin McGill,,,01:05:42,Bellahouston RR,3
6,Kenny Richmond,,,00:27:31,Bellahouston RR,4
7,Andrew Patience,,,00:44:02,Carnethy HRC Male Vets,1
7,Mick James,,,00:44:02,Carnethy HRC Male Vets,1
7,Willie Mykura,,,00:28:47,Carnethy HRC Male Vets,2
7,Steven Fallon,,,01:03:12,Carnethy HRC Male Vets,3
7,Mark James,,,01:03:12,Carnethy HRC Male Vets,3
7,Garry MacInnes,,,00:29:40,Carnethy HRC Male Vets,4
8,David Scott,,,00:42:21,Ochil Old Gits,1
8,Dave Murray,,,00:42:21,Ochil Old Gits,1
8,Euan Mackay,,,00:27:23,Ochil Old Gits,2
8,Andrea Priestley,,,01:05:16,Ochil Old Gits,3
8,John Stevenson,,,01:05:16,Ochil Old Gits,3
8,Ron McCraw,,,00:31:37,Ochil Old Gits,4
9,Cameron Burt,,,00:43:50,SLAC,1
9,Derek Paton,,,00:43:50,SLAC,1
9,Bruce Hall,,,00:30:25,SLAC,2
9,Bruce Smith,,,01:00:50,SLAC,3
9,Richard Martin,,,01:00:50,SLAC,3
9,Robert Hendry,,,00:32:04,SLAC,4
10,Duncan Baker,,,00:45:45,Rattlin' Roarin' HBT,1
10,Geoff Simpson,,,00:45:45,Rattlin' Roarin' HBT,1
10,Murray Strain,,,00:24:45,Rattlin' Roarin' HBT,2
10,Jamie Thin,,,01:09:49,Rattlin' Roarin' HBT,3
10,Stewart Barrie,,,01:09:49,Rattlin' Roarin' HBT,3
10,Ray Ward,,,00:27:34,Rattlin' Roarin' HBT,4
11,Ian Poolman,,,00:45:45,Fife Men “A”,1
11,Nigel Fowler,,,00:45:45,Fife Men “A”,1
11,Neil Young,,,00:28:17,Fife Men “A”,2
11,Andrew Brierley,,,01:03:45,Fife Men “A”,3
11,Alex Jones,,,01:03:45,Fife Men “A”,3
11,Bryce Aitken,,,00:30:18,Fife Men “A”,4
12,Des Crowe,,,00:40:18,Shettleston Harriers Vets.,1
12,Dermot McGonigle,,,00:40:18,Shettleston Harriers Vets.,1
12,Eddie Burns,,,00:36:57,Shettleston Harriers Vets.,2
12,Malcolm Patterson,,,01:00:10,Shettleston Harriers Vets.,3
12,Dave Cummins,,,01:00:10,Shettleston Harriers Vets.,3
12,John Duffy,,,00:30:54,Shettleston Harriers Vets.,4
13,Grant Wilkie,,,00:42:01,Corstorphine AAC Team “A”,1
13,Bryan Clark,,,00:42:01,Corstorphine AAC Team “A”,1
13,Alex Cummings,,,00:27:23,Corstorphine AAC Team “A”,2
13,Tim Norwood,,,01:09:40,Corstorphine AAC Team “A”,3
13,Patrick Roux,,,01:09:40,Corstorphine AAC Team “A”,3
13,Dave Law,,,00:31:19,Corstorphine AAC Team “A”,4
14,Alistair Brunton,,,00:43:18,Shettleston Harriers “A”,1
14,Iain Macfarlane,,,00:43:18,Shettleston Harriers “A”,1
14,Jethro Lennox,,,00:23:59,Shettleston Harriers “A”,2
14,Robert Monro,,,01:15:02,Shettleston Harriers “A”,3
14,David Parker,,,01:15:02,Shettleston Harriers “A”,3
14,Martin Graham,,,00:28:57,Shettleston Harriers “A”,4
15,Ewan Glassey,,,00:41:00,Dundee Hawkhill Senior,1
15,Graham Stewart,,,00:41:00,Dundee Hawkhill Senior,1
15,Alasdair Main,,,00:33:45,Dundee Hawkhill Senior,2
15,Stephen Mason,,,01:07:37,Dundee Hawkhill Senior,3
15,Craig Love,,,01:07:37,Dundee Hawkhill Senior,3
15,John Castle,,,00:28:55,Dundee Hawkhill Senior,4
