Position,Name,Club,Category,Time,Team,Leg
1,Steve Winter,,,00:38:56,"Shettleston Male ""A""",1
1,Ian Butler,,,00:38:56,"Shettleston Male ""A""",1
1,Oleg Chepelin,,,00:25:48,"Shettleston Male ""A""",2
1,Jethro Lennox,,,00:52:56,"Shettleston Male ""A""",3
1,Tom Owens,,,00:52:56,"Shettleston Male ""A""",3
1,Matt Gillespie,,,00:28:41,"Shettleston Male ""A""",4
2,Tommy Lawrence,,,00:37:30,"Carnegie Harriers Men's ""A""",1
2,John Hargrieves,,,00:37:30,"Carnegie Harriers Men's ""A""",1
2,Scott Bradley,,,00:26:47,"Carnegie Harriers Men's ""A""",2
2,Andrew Wright,,,00:54:08,"Carnegie Harriers Men's ""A""",3
2,Andrew Symonds,,,00:54:08,"Carnegie Harriers Men's ""A""",3
2,Ian Stewart,,,00:31:08,"Carnegie Harriers Men's ""A""",4
3,Nick Reid,,,00:38:54,"Bellahouston RR Mens ""A""",1
3,Dougal Ross,,,00:38:54,"Bellahouston RR Mens ""A""",1
3,Andy Birnie,,,00:27:29,"Bellahouston RR Mens ""A""",2
3,Mark Johnston,,,00:58:33,"Bellahouston RR Mens ""A""",3
3,Matt Williamson,,,00:58:33,"Bellahouston RR Mens ""A""",3
3,Colin McGill,,,00:29:45,"Bellahouston RR Mens ""A""",4
4,Adam Ward,,,00:37:38,"Carnethy Senior ""A""",1
4,Angela Mudge,,,00:37:38,"Carnethy Senior ""A""",1
4,Sam Hesling,,,00:27:12,"Carnethy Senior ""A""",2
4,Simon Peachey,,,01:00:04,"Carnethy Senior ""A""",3
4,Stewart Whitlie,,,01:00:04,"Carnethy Senior ""A""",3
4,Lars Ottemoler,,,00:30:39,"Carnethy Senior ""A""",4
5,Dave Eiser,,,00:37:45,Ochil Young Guns,1
5,Jamie Stevenson,,,00:37:45,Ochil Young Guns,1
5,Nick Leslie,,,00:27:29,Ochil Young Guns,2
5,Paul Fettes,,,01:02:43,Ochil Young Guns,3
5,Ewan Jack,,,01:02:43,Ochil Young Guns,3
5,Ross Houston,,,00:27:56,Ochil Young Guns,4
6,Frank Popham,,,00:41:26,"Fife AC ""A""",1
6,Graham Kirby,,,00:41:26,"Fife AC ""A""",1
6,Chris Russell,,,00:26:46,"Fife AC ""A""",2
6,Bill Fairmaner,,,01:00:37,"Fife AC ""A""",3
6,Mark Harris,,,01:00:37,"Fife AC ""A""",3
6,Paul Roarty,,,00:31:59,"Fife AC ""A""",4
7,Bruce Smith,,,00:39:00,Carnethy V40,1
7,Andy Spenceley,,,00:39:00,Carnethy V40,1
7,Olly Stephenson,,,00:29:45,Carnethy V40,2
7,Adrian Davis,,,01:00:49,Carnethy V40,3
7,Steven Fallon,,,01:00:49,Carnethy V40,3
7,Paul Ritchie,,,00:35:32,Carnethy V40,4
8,Gary Hughes,,,00:42:53,Deeside Runners,1
8,Owen Bass,,,00:42:53,Deeside Runners,1
8,David Hirst,,,00:30:08,Deeside Runners,2
8,Alan Smith,,,01:02:13,Deeside Runners,3
8,Robbie Simpson,,,01:02:13,Deeside Runners,3
8,Donald Kerridge,,,00:33:51,Deeside Runners,4
9,Rory Anderson,,,00:41:07,Teri Trailblazer's,1
9,Reece Taylor,,,00:41:07,Teri Trailblazer's,1
9,Billy Fraser,,,00:31:03,Teri Trailblazer's,2
9,Keith Murray,,,01:05:38,Teri Trailblazer's,3
9,Kenneth Short,,,01:05:38,Teri Trailblazer's,3
9,Craig Grieve,,,00:31:50,Teri Trailblazer's,4
10,Marco Sanz Gomez,,,00:41:52,"Bellahouston RR Mens ""B""",1
10,Peter Gallanagh,,,00:41:52,"Bellahouston RR Mens ""B""",1
10,Greg Glendinning,,,00:30:13,"Bellahouston RR Mens ""B""",2
10,Brendan Moriarty,,,01:05:49,"Bellahouston RR Mens ""B""",3
10,Craig Ross,,,01:05:49,"Bellahouston RR Mens ""B""",3
10,Alasdair McLeod,,,00:32:01,"Bellahouston RR Mens ""B""",4
11,Tom Scott,,,00:41:22,"Fife AC ""B""",1
11,Brian Cruickshank,,,00:41:22,"Fife AC ""B""",1
11,Andrew Brierley,,,00:28:38,"Fife AC ""B""",2
11,Neil Martin,,,01:07:40,"Fife AC ""B""",3
11,John Kay,,,01:07:40,"Fife AC ""B""",3
11,Bryce Aitken,,,00:33:03,"Fife AC ""B""",4
12,Des Crowe,,,00:41:43,Shettleston Vets,1
12,Malcolm Patterson,,,00:41:43,Shettleston Vets,1
12,Bill Maxwell,,,00:28:53,Shettleston Vets,2
12,Fiona Maxwell,,,01:07:14,Shettleston Vets,3
12,Dave Cummins,,,01:07:14,Shettleston Vets,3
12,John Duffy,,,00:33:25,Shettleston Vets,4
13,Roger Van Gompel,,,00:42:12,"Dundee Hawkhill Harriers ""1""",1
13,Steve Mason,,,00:42:12,"Dundee Hawkhill Harriers ""1""",1
13,Kevin McTavish,,,00:28:20,"Dundee Hawkhill Harriers ""1""",2
13,Des Crowe,,,01:07:14,"Dundee Hawkhill Harriers ""1""",3
13,John Hepburn,,,01:07:14,"Dundee Hawkhill Harriers ""1""",3
13,Anthony Robinson,,,00:34:00,"Dundee Hawkhill Harriers ""1""",4
14,Dave Scott,,,00:41:53,Ochil Vets,1
14,Craig Brown,,,00:41:53,Ochil Vets,1
14,Mark Priestley,,,00:31:15,Ochil Vets,2
