Position,Name,Club,Category,Time,Team,Leg
1,Casey Morgan,,,00:26:21,Shettleston Shifters,1
1,Tom Owens,,,00:57:38,Shettleston Shifters,2
1,Oleg Chepelin,,,00:57:38,Shettleston Shifters,2
1,Peter Mackie,,,00:25:30,Shettleston Shifters,3
1,Kenny Richmond & Matt Sullivan,,,00:30:47,Shettleston Shifters,4
2,Andrew Wright,,,00:25:27,Ochil Seniors,1
2,Al Anthony,,,01:00:45,Ochil Seniors,2
2,Graeme Campbell,,,01:00:45,Ochil Seniors,2
2,Grant Stewart,,,00:23:57,Ochil Seniors,3
2,Dave Eiser & Bob Wiseman,,,00:32:24,Ochil Seniors,4
3,Mike Reid,,,00:27:15,"Carnethy Men ""A""",1
3,Andrew Fallas,,,01:00:03,"Carnethy Men ""A""",2
3,Stewart Whitlie,,,01:00:03,"Carnethy Men ""A""",2
3,Paul Faulkner,,,00:24:39,"Carnethy Men ""A""",3
3,Iain Whiteside & Konrad Rawlik,,,00:32:03,"Carnethy Men ""A""",4
4,Gwyn Bellamy,,,00:25:10,Westerlands Men A+,1
4,James Calledner,,,01:04:47,Westerlands Men A+,2
4,Steven Halsall,,,01:04:47,Westerlands Men A+,2
4,Niall McAllinden,,,0:24:47,Westerlands Men A+,3
4,Owen O'Neill & Sam Alexander,,,00:33:09,Westerlands Men A+,4
5,Colin Dempster,,,00:28:06,Deeside Lords,1
5,Dan Whitehead,,,###,Deeside Lords,2
5,Sam Burgess,,,###,Deeside Lords,2
5,Robbie Simpson,,,###,Deeside Lords,3
5,Drew Tivendale & Nick Mardall,,,00:37:05,Deeside Lords,4
6,Fergus Ingledew,,,00:30:02,Fife AC Roger's Male,1
6,Logan Rees,,,01:03:11,Fife AC Roger's Male,2
6,Tristan Rees,,,01:03:11,Fife AC Roger's Male,2
6,Jamie Ingledew,,,00:24:52,Fife AC Roger's Male,3
6,George Rees & Craig Morris,,,00:34:56,Fife AC Roger's Male,4
7,Graham Nash,,,00:26:58,Carnethy MV40,1
7,Jon Ascroft,,,01:06:17,Carnethy MV40,2
7,Adrian Davis,,,01:06:17,Carnethy MV40,2
7,Craig Mattocks,,,00:24:45,Carnethy MV40,3
7,Matt Davis & Olly Stevenson,,,00:37:22,Carnethy MV40,4
8,Gordon Barrie,,,00:27:08,"DHH ""B""",1
8,Des Crowe,,,01:07:15,"DHH ""B""",2
8,Steve Matthews,,,01:07:15,"DHH ""B""",2
8,Roger Van Gompel,,,00:24:18,"DHH ""B""",3
8,Craig Love & Ian McNulty,,,00:38:19,"DHH ""B""",4
9,Rob Brookes,,,00:27:04,Cosmic Men,1
9,Stu Smith,,,01:07:58,Cosmic Men,2
9,Ben Abrahams,,,01:07:58,Cosmic Men,2
9,Rob Brookes,,,00:24:04,Cosmic Men,3
9,Mark Stockton & Neil Easton,,,00:38:09,Cosmic Men,4
10,John Denovan,,,00:27:48,Westerlands Men A,1
10,Brian Bonnyman,,,###,Westerlands Men A,2
10,Manny Gorman,,,###,Westerlands Men A,2
10,Gregor Stewart,,,###,Westerlands Men A,3
10,Steffen Gorgas & Stanley Charles,,,00:38:16,Westerlands Men A,4
11,Matthew Curry,,,00:30:35,"Carnethy Men ""B""",1
11,Andrew Gilmore,,,01:03:39,"Carnethy Men ""B""",2
11,Andrew Normand,,,01:03:39,"Carnethy Men ""B""",2
11,Ian Gilmore,,,00:26:29,"Carnethy Men ""B""",3
11,Euan Boyd & Steve Best,,,00:37:35,"Carnethy Men ""B""",4
12,Ewan Jack,,,00:27:41,Ochil Vets,1
12,Sean McFarlane,,,01:10:33,Ochil Vets,2
12,Grant Baxter,,,01:10:33,Ochil Vets,2
12,John Stevenson,,,00:26:01,Ochil Vets,3
12,Nick Leslie & Stephan Scheuerl,,,00:38:41,Ochil Vets,4
13,Jason Harrison,,,00:32:24,Lomond Glums,1
13,Fraser Scott,,,01:06:34,Lomond Glums,2
13,Donald MacKenzie,,,01:06:34,Lomond Glums,2
13,Gordon Pryde,,,00:28:29,Lomond Glums,3
13,James Crozier & Neil Martin,,,00:37:14,Lomond Glums,4
14,Paul Kieran,,,00:30:28,Carnegie Harriers,1
14,Pete Simpson,,,01:11:46,Carnegie Harriers,2
14,Derek Cassells,,,01:11:46,Carnegie Harriers,2
14,Davie Millar,,,00:24:53,Carnegie Harriers,3
14,Steven King & Martin Butcher,,,00:37:59,Carnegie Harriers,4
15,Howell Craske,,,00:25:54,"DHH ""A""",1
15,Johnny McBain,,,01:14:14,"DHH ""A""",2
15,Billy Gibson,,,01:14:14,"DHH ""A""",2
15,Jamie Crowe,,,00:24:03,"DHH ""A""",3
15,Iain Anderson & Garth Irons,,,00:40:57,"DHH ""A""",4
16,Rim McConnell,,,00:31:40,"Strathearn Harriers ""A""",1
16,Roger Goddard,,,01:08:19,"Strathearn Harriers ""A""",2
16,Will Manners,,,01:08:19,"Strathearn Harriers ""A""",2
16,Digby Sym,,,00:25:56,"Strathearn Harriers ""A""",3
16,Chris Clarke & Andy Greaves,,,00:39:23,"Strathearn Harriers ""A""",4
17,Mike Reilly,,,00:32:40,"Anster Haddies ""A""",1
17,Davie Burgess,,,01:13:14,"Anster Haddies ""A""",2
17,Stuart McKenzie,,,01:13:14,"Anster Haddies ""A""",2
17,Ronan McKinstray,,,00:26:22,"Anster Haddies ""A""",3
17,Thomas Knox & Jonny Knox,,,00:35:54,"Anster Haddies ""A""",4
18,Hector Haines,,,00:25:38,HBT Brown Movements,1
18,Tom Martin,,,01:15:16,HBT Brown Movements,2
18,Coll Williamson,,,01:15:16,HBT Brown Movements,2
18,Fob Flett,,,00:27:33,HBT Brown Movements,3
18,Simon Harrison & Michael Taylor,,,00:41:18,HBT Brown Movements,4
19,Tessa Hill,,,00:29:26,HBT Desperados Ladies A,1
19,Claire Gordon,,,01:14:50,HBT Desperados Ladies A,2
19,Sula Gay,,,01:14:50,HBT Desperados Ladies A,2
19,Eilis McKechanie,,,00:27:36,HBT Desperados Ladies A,3
19,Sarah O' Neil & Amelia Lloyd,,,00:39:01,HBT Desperados Ladies A,4
20,Craig Mitchell,,,00:29:41,Shettleston Elite,1
20,Alastair Pringle,,,01:13:59,Shettleston Elite,2
20,Bill Maxwell,,,01:13:59,Shettleston Elite,2
20,Graham Ramsay,,,00:29:15,Shettleston Elite,3
20,Bill Breckenridge & John Duffy,,,00:38:25,Shettleston Elite,4
21,Jessie Dahl,,,00:33:05,"Carnethy Ladies ""A""",1
21,Jasmin Paris,,,01:09:05,"Carnethy Ladies ""A""",2
21,Angela Mudge,,,01:09:05,"Carnethy Ladies ""A""",2
21,Kate Jenkins,,,###,"Carnethy Ladies ""A""",3
21,Lisa Gamble & Jacqui Higginbottom,,,###,"Carnethy Ladies ""A""",4
22,Gordon Cameron,,,00:32:04,Carnethy MV50,1
22,Steven Fallon,,,01:10:34,Carnethy MV50,2
22,Adam Ward,,,01:10:34,Carnethy MV50,2
22,Neil Gilmore,,,00:27:29,Carnethy MV50,3
22,Willie Gibson & Bob Waterhouse,,,00:44:50,Carnethy MV50,4
23,Scott Findlay,,,00:32:25,Dundee University Triathlon Club,1
23,Graeme Stewart,,,01:13:20,Dundee University Triathlon Club,2
23,Ryan Stewart,,,01:13:20,Dundee University Triathlon Club,2
23,Ruari Jardine,,,00:30:19,Dundee University Triathlon Club,3
23,Mike Gillies & Andrew Tait,,,00:40:09,Dundee University Triathlon Club,4
24,Mike Lynch,,,00:30:41,Carnethy V40 2,1
24,Simon Titmuss,,,01:14:58,Carnethy V40 2,2
24,Neil Burnett,,,01:14:58,Carnethy V40 2,2
24,Bob Lyons,,,00:30:41,Carnethy V40 2,3
24,Joel Sylvester & Jason Hubert,,,00:40:34,Carnethy V40 2,4
25,Keith Taylor,,,00:31:32,Wormit Whippets,1
25,Lee Strachan,,,01:14:16,Wormit Whippets,2
25,Calum Grant,,,01:14:16,Wormit Whippets,2
25,Nick Johnson,,,00:30:47,Wormit Whippets,3
25,Dave Shepherd & Angus McGhie,,,00:40:49,Wormit Whippets,4
26,Chris Upson,,,00:28:31,Westerlands Alpha Vets,1
26,Ian Thurlbeck,,,01:18:56,Westerlands Alpha Vets,2
26,Marc Roper,,,01:18:56,Westerlands Alpha Vets,2
26,Doug Lea,,,00:29:03,Westerlands Alpha Vets,3
26,Dave Calder & Don Reid,,,00:41:04,Westerlands Alpha Vets,4
27,Keith Bremner,,,00:33:07,"Carnegie Harriers ""A""",1
27,Willie Rennie,,,01:19:48,"Carnegie Harriers ""A""",2
27,Pete Humphreys,,,01:19:48,"Carnegie Harriers ""A""",2
27,James Traynor,,,00:25:22,"Carnegie Harriers ""A""",3
27,Barry Davie & Kevin Davie,,,00:39:20,"Carnegie Harriers ""A""",4
28,Fergus Bisset,,,00:31:30,Rubby-Burny-Bits HRC,1
28,Stephen Dorey,,,01:12:32,Rubby-Burny-Bits HRC,2
28,Duncan Hill,,,01:12:32,Rubby-Burny-Bits HRC,2
28,Rachel Berry,,,00:29:42,Rubby-Burny-Bits HRC,3
28,Tom Middlemiss & Tommy Rampling,,,00:44:51,Rubby-Burny-Bits HRC,4
29,David Law,,,00:34:10,Corstorphine AAC,1
29,Tim Norwood,,,01:10:26,Corstorphine AAC,2
29,Alex Cumming,,,01:10:26,Corstorphine AAC,2
29,Jan Van den Berg,,,00:30:22,Corstorphine AAC,3
29,Paul O' Brien & Martin Hume,,,00:45:27,Corstorphine AAC,4
30,Claire Douglas,,,00:32:37,Lost Boys Found Girls,1
30,Matthew McCullagh,,,01:16:13,Lost Boys Found Girls,2
30,Dave McElnea,,,01:16:13,Lost Boys Found Girls,2
30,Barry McGuire,,,00:25:59,Lost Boys Found Girls,3
30,Gillian McGuire & Annie McElnea,,,00:46:43,Lost Boys Found Girls,4
31,Ron McCraw,,,00:32:16,Ochil Mixed,1
31,Pete Buchanan,,,01:18:02,Ochil Mixed,2
31,Dave Scott,,,01:18:02,Ochil Mixed,2
31,Juliette Camburn,,,00:30:11,Ochil Mixed,3
31,Alayne Finlay & Sarah Wiseman,,,00:41:16,Ochil Mixed,4
32,Karen Kealey,,,00:35:37,Ochil Ladies Vets,1
32,Andrea Priestly,,,01:12:55,Ochil Ladies Vets,2
32,Tracey Brindley,,,01:12:55,Ochil Ladies Vets,2
32,Katy Baxter,,,00:31:47,Ochil Ladies Vets,3
32,Fiona Kelsall & Mairi McIntosh,,,00:43:45,Ochil Ladies Vets,4
33,John Musgrave,,,00:31:28,Deeside Ancients,1
33,David Hirst,,,01:15:24,Deeside Ancients,2
33,David Croll,,,01:15:24,Deeside Ancients,2
33,Alan Smith,,,00:26:06,Deeside Ancients,3
33,David Sullivan & Miles Newman,,,00:51:35,Deeside Ancients,4
34,Clare Whitehead,,,00:30:10,Deeside Ladies,1
34,Steph Provan,,,01:20:30,Deeside Ladies,2
34,Ruth McKenzie,,,01:20:30,Deeside Ladies,2
34,Lina Mardall,,,00:30:19,Deeside Ladies,3
34,Jane Kerridge & Sarah Dunn,,,00:43:58,Deeside Ladies,4
35,Matt Strachan,,,00:28:58,DHH Super Vets,1
35,D Mitchell,,,01:17:30,DHH Super Vets,2
35,J Hepburn,,,01:17:30,DHH Super Vets,2
35,G Watson,,,00:35:32,DHH Super Vets,3
35,N Reynolds & P Forty,,,00:43:52,DHH Super Vets,4
36,Tom Brown,,,00:38:41,The Edge Heads,1
36,Mike MacDonald,,,01:15:46,The Edge Heads,2
36,Stuart McIntosh,,,01:15:46,The Edge Heads,2
36,Paul Prentice,,,00:26:23,The Edge Heads,3
36,Will Goad & Michael Gratzke,,,00:45:53,The Edge Heads,4
37,Stewart Leckie,,,00:33:10,Fife AC Mountain Men,1
37,Neil Millar,,,01:24:42,Fife AC Mountain Men,2
37,Andy Milne,,,01:24:42,Fife AC Mountain Men,2
37,Alasdair Hood,,,00:30:32,Fife AC Mountain Men,3
37,Ian Hawkins & Dave Cowan,,,00:39:05,Fife AC Mountain Men,4
38,Keith Headridge,,,00:31:58,Forfar RR/HR,1
38,Craig Stewart,,,01:25:17,Forfar RR/HR,2
38,Nari Hena,,,01:25:17,Forfar RR/HR,2
38,Ron Milne,,,00:33:56,Forfar RR/HR,3
