Position,Name,Club,Category,Time
1,Tom Owens,Lochaber AC,M40,01:00:37
2,Andrew Gilmore,Highland Hill Runners,M,01:01:19
3,Ewan Thorburn,Lochaber AC,M40,01:02:15
4,Robert Sparks,Fife AC,M,01:02:40
5,Pete Wilson,Unattached,M,01:06:45
6,Angus Cameron,Lochaber AC,M,01:08:21
7,Craig Mattocks,Carnethy HRC,M50,01:09:00
8,Ruaraidh Mackenzie,Lochaber AC,M,01:10:05
9,Gregor Davidson,Lochaber AC,M40,01:12:12
10,Fraser Mackenzie,Lochaber AC,M,01:13:42
11,Stewart Wilson,Highland Hill Runners,M50,01:17:15
12,Gordon Mackinnon,Lochaber AC,M50,01:17:20
13,Alan Smith,Deeside Runners,M60,01:18:36
14,Sarah Macdonald,Lochaber AC,F,01:21:45
15,Ian Maclennan,Highland Hill Runners,M50,01:23:55
16,Jamie Currie,Lochaber AC,M40,01:29:45
17,Lisette Walter,Lochaber AC,F40,01:31:11
18,Iona Hamilton,Unattached,F,01:32:07
19,Kate Jenkins,Gala Harriers,F50,01:32:30
20,Ross Ellison,Lochaber AC,M40,01:33:26
21,Tyler King,Bellahouston,M,01:36:27
22,Ed Danes,Lochaber AC,M50,01:39:14
23,Kenny Lang,Unattached,M60,01:42:28
24,Scott Maclean,Lochaber AC,M,01:46:54
25,Gillian Ness,Lochaber AC,F,01:59:18
26,Katherine Traill,Lochaber AC,F,01:59:19
27,William Macdonald,Lochaber AC,M60,02:32:48
28,Pen Cabot,Lochaber AC,F50,02:34:47
29,Clare Sladen,Lochaber AC,F50,02:34:48
30,Ashley Macdonald,Lochaber AC,F40,02:50:00
31,Sorcha Kennedy,Unattached,F,02:56:27
32,Isla Kennedy,Unattached,F,02:56:28
