Position,Name,Club,Category,Time
1,Luke Fisher,Carnethy HRC,M,01:53:43
2,Philip Vokes,Highland Hill Runners,M,01:56:27
3,Barney Nikolich,Pennine,M,01:59:54
4,Ali Masson,Carnethy HRC,M,02:00:49
5,Harris Pagett,Strathearn Harriers,M23,02:01:13
6,Alistair Thornton,Ochil Hill Runners,M,02:01:36
7,Csoban Balogh,Carnethy HRC,M,02:01:56
8,Mark Irvine,Highland Hill Runners,M,02:02:36
9,Harry Pulham,Queen's Park AC,M,02:02:48
10,Sam Fisher,Ochil Hill Runners,M,02:05:02
11,Alasdair Campbell,Queen's Park AC,M,02:05:15
12,Tom Owens,Lochaber AC,M40,02:07:25
13,Duncan Coombs,HBT,M,02:08:11
14,Thomas Otton,Carnethy HRC,M,02:08:37
15,Aidan Smith,Carnethy HRC,M,02:10:14
16,Fred Davies,Queen's Park AC,M,02:11:32
17,Sam Hooper,Carnethy HRC,M,02:11:41
18,Tom Martyn,HBT,M,02:12:12
19,Andrew Gilmore,Highland Hill Runners,M,02:12:38
20,Cameron Swanson,Westerlands CCC,M,02:13:30
21,Jethro Lennox,Queen's Park AC,M40,02:14:13
22,Kieran Cooper,Carnethy HRC,M,02:14:39
23,Emily Mcnicol,Carnethy HRC,F,02:14:47
24,Alastair Graves,Ochil Hill Runners,M,02:15:58
25,Andrew Fallas,Carnethy HRC,M40,02:17:15
26,Eliot Sedman,Carnethy HRC,M40,02:18:04
27,Eoin Coull,Highland Hill Runners,M50,02:18:12
28,Jack Reed,Ochil Hill Runners,M,02:18:38
29,Michael Bishenden,Edinburgh Uni H&H,M23,02:18:50
30,Charles Knoery,Highland Hill Runners,M,02:19:17
31,Dean Penfold,Ochil Hill Runners,M,02:19:58
32,Ben Stevens,Carnethy HRC,M,02:21:00
33,Sam Wainwright,Ochil Hill Runners,M,02:21:13
34,Kenny Richmond,Queen's Park AC,M55,02:23:14
35,Ally Beaven,Highland Hill Runners,M,02:23:30
36,Grace Pow,Carnethy HRC,F,02:23:50
37,Kirsty Oldham,Dundee Hawkhill,F,02:24:52
38,Alex Clarkson,Queen's Park AC,M,02:25:30
39,Kieran Watts,Highland Hill Runners,M,02:25:36
40,Doug Tullie,HBT,M,02:25:56
41,Robert Hamlin,Westerlands CCC,M,02:26:04
42,Rob Owen,Carnethy HRC,M,02:27:50
43,Ellen Downs,Westerlands CCC,F,02:28:25
44,Claire White,Unattached,F,02:28:26
45,Ross Cruickshanks,Queen's Park AC,M,02:28:33
46,Hamish Waring,Carnethy HRC,M40,02:28:57
47,Oscar Shepherd,Edinburgh Uni H&H,M23,02:29:14
48,Alasdair Anthony,Unattached,M40,02:29:22
49,Tom Vasepuru,Ochil Hill Runners,M,02:29:39
50,Aoife McCavana,Carnethy HRC,F,02:29:57
51,Martyn Hutchison,Lochaber AC,M,02:30:10
52,Harrison Cunnah,Strathearn Harriers,M,02:30:27
53,Bob Wiseman,Ochil Hill Runners,M40,02:30:28
54,Harry Bloomfield,Deeside Runners,M,02:30:34
55,Oleg Chepelin,Dunbar Atheletics Club,M,02:31:13
56,Stuart Waitt,Carnethy HRC,M,02:31:54
57,James Nicholson,Highland Hill Runners,M,02:31:59
58,Brian Bonnyman,Westerlands CCC,M55,02:32:33
59,Ewan Crawford,HBT,M,02:33:17
60,Andrew Shields,Queen's Park AC,M,02:33:48
61,Sarah Hodgson,Highland Hill Runners,F,02:33:57
62,Richard Bannister,Deeside Runners,M40,02:34:10
63,Steve Feltbower,Ochil Hill Runners,M40,02:34:25
64,Tom Gosling,Westerlands CCC,M,02:34:52
65,Sally Wallis,Deeside Runners,F40,02:34:54
66,Morag McClelland,HBT,F40,02:35:07
67,Walter Henderson,Westerlands CCC,M55,02:35:21
68,Tom Lines,Carnethy HRC,M,02:35:30
