Position,Name,Club,Category,Time
1,Nicky Spinks,Tussocks Galore,F,11:21:00
1,Emma Stuart,Tussocks Galore,F,11:21:00
2,Joe Farnell,The Bogdashians,M,12:00:00
2,Despina Berdeni,The Bogdashians,F,12:00:00
2,Lisa Watson,The Bogdashians,F,12:00:00
3,Alasdair Meldrum,Alasdair Meldrum,M,14:45:00
4,Jo Scott,Team Flapjack,M,15:38:00
4,Ian Jones,Team Flapjack,M,15:38:00
4,Pat Barlett,Team Flapjack,M,15:38:00
5,Alistair Shawcross,Unattached,M,15:56:00
