Position,Name,Club,Category,Time
1,Alistair Masson,Carnethy Hill Racing Club,M,02:17:09
2,Tom Owens,Lochaber Athletic Club,M40,02:21:11
3,Sam Hooper,Carnethy Hill Racing Club,M,02:22:06
4,Blair Barnett-Johnston,Carnethy Hill Racing Club,M,02:22:55
5,Andrew Gilmore,Highland Hill Runners,M,02:26:05
6,Felix Wilson,Carnethy Hill Racing Club,M,02:26:16
7,Andrew Fallas,Carnethy Hill Racing Club,M45,02:27:38
8,Ben Laverick,Carnethy Hill Racing Club,M,02:28:01
9,Hamish Cameron,Hunters Bog Trotters,M,02:28:50
10,Dean Penfold,Ochil Hill Runners,M,02:31:25
11,Sam Wainwright,Ochil Hill Runners,M,02:32:59
12,Jonathan Turnbull,Strathearn Harriers,M40,02:34:32
13,Kristopher Blake,Westerlands Cross Country Club,M,02:36:39
14,Robin Wilkins,Ochil Hill Runners,M45,02:37:59
15,Catriona Graves,Highland Hill Runners,F,02:38:22
16,Andrew Lamont,Carnethy Hill Racing Club,M45,02:39:24
17,Jonny Brattle,Carnethy Hill Running Club,M,02:40:02
18,Ryan MacKay,Lochaber Athletic Club,M,02:44:52
19,Rob Owen,Carnethy Hill Racing Club,M,02:46:39
20,Ben Stevens,Carnethy Hill Racing Club,M,02:47:01
21,Hamish Waring,Carnethy Hill Running Club,M40,02:48:26
22,Harrison Cunnah,Strathearn Harriers,M,02:51:37
23,Andrew Cox,Gala Harriers,M40,02:52:30
24,Adam Barrie,Edinburgh University Hare & Hounds,M23,02:53:35
25,Rob Simpson,Grampian Sports and Rec Club,M,02:53:39
26,Jim Reid,Strathearn Harriers,M45,02:54:36
27,Ruairidh Shaw,Lochaber Athletic Club,M,02:57:48
28,Harry Bloomfield,Deeside Runners,M,02:58:32
29,Thomas Bissett,Strathearn Harriers,M,02:59:59
30,Lizzie Knox,Carnethy Hill Running Club,F,03:00:37
31,Helen Fallas,Carnethy Hill Racing Club,F40,03:01:26
32,Gordon Mackinnon,Lochaber Athletic Club,M50,03:01:55
33,Rory McCarthy,Pentland Triathletes,M40,03:02:13
34,Adam Anderson,Hartfell Hill Running Club,M55,03:03:27
35,Gregor Davidson,Lochaber Athletic Club,M45,03:03:55
36,Bryan McKenna,Carnethy Hill Racing Club,M45,03:04:18
37,Caroline Marwick,Highland Hill Runners,F40,03:04:56
38,Sam McKinnon,Gala Harriers,M,03:05:45
39,Angus Cameron,Lochaber Athletic Club,M,03:06:44
40,Alan Smith,Deeside Runners,M65,03:06:58
41,Simon Patton,Dark Peak Fell Runners,M55,03:10:25
42,Fraser Mcfadden,Edinburgh Athletics Club,M,03:12:09
43,Lottie Cameron,Dunbar Running Club,F,03:12:44
44,Hazel Skerman,Carnethy Hill Running Club,F40,03:14:34
45,Eck Anderson,Anster Haddies Running Club,M45,03:15:36
46,Neil Walker,Happy Little Trees Running Club,M45,03:16:03
47,Iain Gilmore,Carnethy Hill Running Club,M,03:16:25
48,Alastair Preiss,Ochil Hill Runners,M50,03:17:17
49,Rab Robertson,Unattached,M45,03:18:01
50,Lynne Allen,Unattached,F40,03:18:39
51,Jonathan Weir,Unattached,M45,03:18:41
52,Amanda Blackhall,Lochaber Athletic Club,F55,03:19:48
53,Felton Humble,Westerlands Cross Country Club,M45,03:19:51
54,Jonny Knox,Anster Haddies Running Club,M60,03:20:07
55,Niall Reid,Unattached,M,03:20:39
56,Stewart Wilson,Highland Hill Runners,M55,03:20:49
57,James Connelly,Glasgow University Hares and Hounds,M,03:22:17
58,Allen Flockhart,Carnethy Hill Running Club,M45,03:22:31
59,Don Reid,Westerlands Cross Country Club,M65,03:23:15
60,Dave Dowse,Strathearn Harriers,M45,03:23:18
61,Natalie Greaves,Knavesmire Harriers,F40,03:24:30
62,Raeanne Miller,Unattached,F40,03:24:47
63,Dan Walmsley,Highland Hill Runners,M45,03:25:05
64,Rob Wilson,Penicuik Harriers,M55,03:25:23
65,Fiona Horsfield,Kinross Road Runners,F45,03:25:52
66,Andrew Lightfoot,Unattached,M40,03:26:47
