Position,Name,Club,Category,Time
1,Tom Spencer,Glasgow University,M,00:32:59
2,Kieran Cooper,Carnethy HRC,M,00:33:40
3,Oliver Dawson,Northern Fells RC,M,00:33:56
4,Angus Wright,Edinburgh University,M,00:35:01
5,Alex Dunlop,Strathclyde University,MU20,00:35:24
6,Aidan Belton-Schure,HBT,M,00:37:09
7,Richie Hughes,Carnethy HRC,M,00:37:22
8,Dave Ward,HBT,M40,00:37:35
9,Robin Wilkins,Ochil Hill Runners,M40,00:37:42
10,Jono Atkinson,Ochil Hill Runners,M,00:38:04
11,Eliot Sedman,Carnethy HRC,M40,00:38:12
12,Kristopher Blake,Westerlands CCC,M,00:38:14
13,Cameron Fordyce,Glasgow University,M,00:38:27
14,James Connelly,Glasgow University,M,00:38:32
15,Andrew Wright,PH Racing,M50,00:38:48
16,Andrew Grant,Strathclyde University,MU20,00:38:51
17,Elizabeth Smith,Edinburgh University,F,00:39:40
18,Iain Lynch,HBT,M,00:39:53
19,Josh Ring,Unattached,M,00:40:00
20,Iain Gilmore,Carnethy HRC,M,00:40:10
21,Michael Delaney,Westerlands CCC,M,00:40:23
22,Jack Fullerton,Stirling University,M,00:40:25
23,Grant Baxter,Ochil Hill Runners,M50,00:40:35
24,William Bowers,Ochil Hill Runners,M,00:40:40
25,Andrew Brown,Linlithgow AC,M,00:41:02
26,Griff Roberts,Glasgow University,M,00:41:04
27,Finlay Zanna,Glasgow University,M,00:41:09
28,Hugh Lonergan,Unattached,M,00:41:10
29,Jamie Robinson,Unattached,M,00:41:31
30,Hector Friend,Glasgow University,M,00:41:42
31,Celis Simon Dalton,Glasgow University,M,00:41:46
32,Ross Anderson,Westerlands CCC,M,00:41:49
33,Bryan Mulgrew,Bellahouston RR,M,00:41:50
34,Ryan Kellock,Stirling University,MU20,00:41:56
35,Thomas Redares,Linlithgow AC,M40,00:42:06
36,Ben Dawson,Unattached,M,00:42:13
37,Hamish Meikle,Stirling University,MU20,00:42:17
38,Rachel Giffen,Glasgow University,F,00:42:27
39,Robert Getley,Lomonds HR,M,00:42:43
40,Flora Henry,Glasgow University,F,00:42:49
41,Arran Horne,Glasgow University,M,00:42:55
42,David Cuthbert,Edinburgh University,MU20,00:42:57
43,Alex Reily,Kinross RR,M,00:42:59
44,Calum McBean,Strathearn Harriers,MU20,00:43:07
45,Sam Fisher,Howgill Harriers,M,00:43:12
46,Robert Cartwright,Unattached,M,00:43:17
