Position,Name,Club,Category,Time
1,James Ackland,Dumfries Running Club,M,00:52:49
2,Andrew Gilmore,Highland Hill Runners,M,00:56:56
3,Rowan Taylor,Lasswade Athletics Club,M,00:57:58
4,Mark Walker,Northern Fells Running Club,M,00:58:10
5,Iain Gilmore,Carnethy HRC,M,01:01:44
6,Andrew Cox,Gala Harriers,M40,01:03:22
7,Ally Wight,Hartfell Hill Running Club,M50,01:03:50
8,Adam Dickie,Dumfries Running Club,M40,01:04:03
9,Terry McCloskey,Dumfries Running Club,M40,01:04:24
10,Adam Anderson,Hartfell Hill Running Club,M50,01:06:01
11,Neil Black,Hartfell Hill Running Club,M,01:06:35
12,James Mayers,Musselburgh,M60,01:08:15
13,Des Crowe,Penicuik Harriers,M60,01:08:52
14,Struan Ducker,Unattached,M,01:10:17
15,Ian Patterson,Whisky Chasers,M50,01:10:18
16,Neil Gilmore,Carnethy HRC,M60,01:11:09
17,Alexandra Gonzales,The Bothy Running Club,F,01:12:40
18,Michael Pattinson,Gretna Massive,M,01:14:06
19,Stuart Muir,Unattached,M40,01:16:22
20,Craig Malcolmson,Hartfell Hill Running Club,M60,01:16:43
21,Ranjit Thomas,Dumfries Running Club,M50,01:18:30
22,Katy Brown,Hartfell Hill Running Club,F,01:19:05
23,Alan Smith,Deeside Runners,M60,01:19:44
24,Alaistair McCallum,North Ayrshire Athletic Club,M60,01:21:53
25,Michelle Boley,Hartfell Hill Running Club,F,01:22:10
26,Jon Underwood,Calder Valley Fell Runners,M50,01:22:43
27,Jonathan Taylor,Calder Valley Fell Runners,M,01:26:37
28,Roderick Pugh,Kilmarnock Harriers,M60,01:27:07
29,Andy Ginty,Unattached,M50,01:28:08
30,Ceana Heron,Queens Park AC,F,01:29:21
31,Alex Morton,Dumfries Running Club,M40,01:33:07
32,Helen Mitchell,Unattached,F40,01:33:40
33,Gordon Wright,Dalbeattie Running Club,M50,01:35:11
34,Vicky Hart,Dumfries Running Club,F40,01:40:06
