Position,Name,Club,Category,Time
1,Sam Elliot,Unattached,M,00:32:06
2,Callum Mcbean McBean,Strathearn Harriers,MJ,00:32:11
3,Kerr Mackinnon,Birnam Beavers,M,00:32:32
4,Callum Mcbean Lees,Unattached,M,00:33:01
5,Euan Forrest,Unattached,M,00:33:52
6,Stephen Andrew,Perth Road Runners,M,00:34:44
7,Ian Niblock,Birnam Beavers,M,00:35:12
8,Ruraidh McKenzie,Lochaber AC,M,00:35:57
9,Andrew Duff,Forfar Road Runners,M,00:36:20
10,James Stops,Birnam Beavers,M,00:38:11
11,Morris Roberts,Perth Road Runners,M40,00:38:18
12,Twig Barber,Falkland Trail Runners,F,00:38:42
13,Kuba Marszalek,Unattached,M40,00:38:44
14,Alan Smith,Deeside,M60,00:41:45
15,Peter Warland,Forfar Road Runners,M60,00:43:11
16,Fay Sandford,Forfar Road Runners,F,00:43:20
17,Chris Bathgate,Forfar Road Runners,M50,00:43:55
18,Lyle Allan,Falkland Trail Runners,M60,00:44:16
19,Ian Leslie,Forfar Road Runners,M40,00:44:56
20,Laura Donaldson,Birnam Beavers,F,00:46:07
21,Fabienne Thompson,Lomond Hill Runners,F60,00:46:39
22,Amber McKenzie,Unattached,F,00:48:06
23,Allison McPherson,Falkland Trail Runners,F40,00:49:22
24,Lee Cessford,Falkland Trail Runners,M50,00:49:23
25,John Small,Birnam Beavers,M50,00:49:50
26,Ron Milne,Forfar Road Runners,M70,00:52:38
27,Alexandra Sharp,Deeside,F,00:52:21
28,Gemma Crawford,Falkland Trail Runners,F,00:55:54
29,June Balgowan,Falkland Trail Runners,F50,00:57:47
30,David Pease,Falkland Trail Runners,M60,00:58:03
31,Nicola Watson,Strathearn Harriers,F50,00:59:10
32,David McKay,Forfar Road Runners,M50,00:59:30
33,Clare Martin,Strathearn Harriers,F60,01:18:23
34,Ann McGlashan,Strathearn Harriers,F50,01:18:24
