Position,Name,Club,Category,Time
1,Ben Hodgson,Stewarty Ath,M18,00:29:04
2,Luke Park,Hartfell HRC,M,00:32:23
3,Adam Park,Hartfell HRC,M,00:34:12
4,Richard Liddell,Unattached,M,00:35:04
5,Neil Black,Hartfell HRC,M,00:35:26
6,Finlay Zamma,Unattached,M,00:35:42
7,Adam Dickie,Dumfries RC,M40,00:35:55
8,Terry McCloskey,Dumfries RC,M40,00:36:05
9,Sam McKinnon,Gala Harriers,M,00:36:08
10,Ian Houston,Buckley,M50,00:37:55
11,Ian Patterson,Whiskey Chasers,M50,00:38:00
12,Ally Wight,Hartfell HRC,M50,00:39:40
13,Morgan McConnell,Hartfell HRC,M,00:42:05
14,Alexandra Gonzales,TBRC,F,00:43:05
15,Craig McKay,Hartfell HRC,M60,00:43:18
16,Bradley Cowan,Unattached,M,00:43:41
17,Simon Mortlock,Dumfries RC,M60,00:44:23
18,Ian Murgatroyd,Hartfell HRC,M60,00:48:06
19,Nicole Bygrave,Dalbeattie RC,F50,00:48:51
20,Archie Park,Hartfell HRC,M60,00:49:26
21,Lucy Haycock,Hartfell HRC,F60,00:49:26
22,Gordon Wright,Dalbeattie RC,M50,00:50:41
23,Colin Gilmour,Unattached,M60,00:51:06
