Position,Name,Club,Category,Time
1,Andy King,Deeside Runners,M,00:41:39
2,Lachlan Kirk,Stonehaven RC,M,00:42:59
3,Harry Bloomfield,Deeside Runners,M,00:44:02
4,Stanley Topalian,DDJC,M40,00:44:43
5,Sally Wallis,Deeside Runners,F40,00:44:55
6,Peter Torrance,Deeside Runners,M40,00:45:17
7,Ruth Gooch,Deeside Runners,F,00:47:30
8,Thomas Carter,Metro Aberdeen,M,00:47:35
9,Martin Junor,Unattached,M40,00:47:54
10,Mark Stockton,Cosmic Hillbashers,M40,00:47:59
11,Robert Jobling,Cosmic Hillbashers,M40,00:49:05
12,Rachel Little,Deeside Runners,F40,00:49:07
13,Lucy McLeod,Metro Aberdeen,F,00:49:13
14,Danny Sutherland,Unattached,M,00:49:35
15,Jason Williamson,Cosmic Hillbashers,M50,00:49:55
16,Martin Pritchett,Deeside Runners,M50,00:49:59
17,Fraser Taylor,Unattached,M,00:51:46
18,Patrick Lang,Deeside Runners,M,00:52:09
19,Sam Burgess,Unattached,M,00:52:36
20,Richard Lang,Cosmic Hillbashers,M50,00:52:51
21,Rory Macpherson,Cosmic Hillbashers,M40,00:53:00
22,Samantha McDonald,Metro Aberdeen,F16,00:53:05
23,Scott Beattie,Unattached,M,00:53:11
24,Fiona McDonald,Cosmic Hillbashers,F40,00:54:08
25,Oliver Eatough,Unattached,M,00:55:38
26,Richard Ingram,Unattached,M50,00:56:15
27,Mhairi McInnes,Deeside Runners,F,00:56:24
28,Kevin Heath,Cosmic Hillbashers,M60,00:56:34
29,Charlie Ritchie,Deeside Runners,M70,00:59:52
30,Katie Pearce,Unattached,F40,01:00:57
31,Claire Gallagher,Insch TRC,F40,01:01:53
32,Ian Hamilton,Cosmic Hillbashers,M60,01:02:48
33,Greig Cruickshank,JSK Running Club,M60,01:04:29
34,Linda Smith,Cosmic Hillbashers,F60,01:04:56
35,Anita Hamilton,Cosmic Hillbashers,F60,01:05:04
36,Alan Dick,Cosmic Hillbashers,M50,01:06:15
37,Steven Smith,Jog Scotland Westhill,M60,01:06:56
38,Lesley Johnson,Unattached,F40,01:07:06
39,Sarah O'Sullivan,Deeside Runners,F40,01:08:20
40,Lewis Adams,Insch TRC,M40,01:08:21
41,Claire Conway,Deeside Runners,F40,01:08:41
