Position,Name,Club,Category,Time
1,Michael Reid,Moorfoot Runners,M,01:44:22
2,Ray Ward,Hunters Bog Trotters,M,01:47:02
3,Iain Whiteside,Edinburgh University H & H,M,01:50:04
4,Stewart Whitlie,Carnethy HR,M50,01:50:24
5,David Simpson,Corstorphine,M,01:50:48
6,Huw Jones,Hunters Bog Trotters,M,01:50:57
7,Johnny Lawson,Portobello,M,01:51:04
8,Douglas Carstairs,Portobello Running Club,M,01:51:31
9,Vivian Scott,,M,01:52:00
10,James Bowden,Hunters Bog Trotters,M,01:53:15
11,David Godfree,Interlopers,M,01:54:11
12,Tom Barr,HBT,M,01:54:53
13,John Hammond,Carnethy Hill Running Club,M,01:55:36
14,Stephen Winter,Shettleston Harriers,M,01:55:50
15,Michael Cunningham,Edinburgh Triathletes,M,01:57:40
16,Graeme Fletcher,Corstorphine AAC,M50,01:57:48
17,Gido van de Ven,EUR Roadrunners,M,01:58:57
18,Ed Watson,,M,01:59:07
19,Fergus Johnston,Gala Harriers,M,01:59:14
20,Olly Stephenson,Carnethy HR,M,01:59:51
21,Eilis McKechanie,Hunters Bog Trotters,F,02:00:44
22,Graham Henry,Portobello Running Club,M,02:02:06
23,Tom Wilson,,M,02:03:24
24,Andy Sims,H.B.T.,M,02:03:32
25,Bernard Revoy,Portobello,M,02:04:37
26,Fiona Drake,Corstorphine Aac,F,02:05:42
27,Nicholas Wolverson,,M,02:05:47
28,Michael Fullerton,Portobello Running Club,M,02:06:21
29,Jeff Thornton,,M,02:06:34
30,Ian Black,City of edinburgh,M,02:06:36
31,Amelia Lloyd,HBT,F,02:06:40
32,Charles Garland,,M,02:07:30
33,Scott Williamson,Corstorphine Aac,M,02:08:00
34,Simon Titmuss,Carnethy HR,M,02:08:08
35,Rob Coward,,M,02:08:11
36,Leon Persoon,EUR Roadrunners,M,02:08:14
37,Joshua Arthur,,M,02:08:16
38,Gordon Cameron,Carnethy HR,M50,02:08:19
39,Martin Caldwell,Corstorphine Aac,M50,02:08:22
40,Rowena Hill,,F,02:08:25
41,Graeme Ross,Interlopers RC,M,02:08:29
42,Megan Crawford,Fife AC,F,02:08:37
43,Mark Senn,,M,02:09:12
44,Daniel Clements,Hunters Bog Trotters,M,02:09:15
45,Simon Harrison,Hunters Bog Trotters,M,02:09:34
46,Robert Simmers,Beacon Runners,M,02:10:10
47,Chris Ilelu,,M,02:10:21
48,John Tollitt,Tyne Bridge Harriers,M,02:10:25
49,Scott Dickson,,M,02:10:57
50,Martin Zeidler,,M,02:10:59
51,David White,Kilmarnock Harriers,M,02:11:05
52,Chris Henty,Carnethy HR,M,02:11:41
53,Mike Lynch,Carnethy HR,M,02:12:19
54,Phil Humphries,Carnethy Hill Running Club,M,02:13:14
55,Joris Wulfert,EUR Roadrunners,M,02:13:16
56,Kevin Gemson,David Lloyd Edinburgh,M,02:13:21
57,Roland McCraw,Portobello Running Club,M,02:13:25
58,Alistair Hindle,Hunters Bog Trotters,M,02:13:35
59,Stephen McCullough,Edinburgh road club,M50,02:13:38
60,Martin Twigg,H.B.T.,M,02:13:43
61,Angus Boyd,,M50,02:13:55
62,Richard J. Brown,,M,02:15:07
63,William Mykura,Carnethy HR,M50,02:15:12
64,Marijn Rodenburg,EUR Roadrunners,M,02:15:40
65,Graham Wright,H.B.T.,M50,02:15:56
66,Kathy Henly,Portobello Running Club,F,02:16:02
67,Paul Scott,,M,02:16:05
68,Graeme Dunbar,,M,02:16:37
69,Ricky Fraser,Portobello Running Club,M,02:16:40
70,Jonathan Zorner,BV Kaiserslautern,M,02:16:57
71,Jim Lowson,The Running Company,M50,02:17:05
72,Jan-Bert van den Berg,Corstorphine Aac,M50,02:17:13
73,Julia Lutte,HBT,F,02:17:17
74,Andrew McKechanie,Hunters Bog Trotters,M,02:17:26
75,Jimmy Hudson,,M60,02:18:54
76,Colin Macaldowie,,M,02:18:57
77,Susan Johnston,Corstorphine AAC,F50,02:19:06
78,Lee Curtis,Dunbar,M,02:19:40
79,Angus Davidson,Carnethy HR,M,02:19:53
80,Matthew Jones,Carnethy Hill Running Club,M,02:20:15
81,Lucas Gilroy,,M,02:20:22
82,Innes Gibson,ERC,M50,02:20:28
83,Colin Nichol,Teviotdale Harriers,M,02:20:34
84,Alister Biggar,Teviotdale Harriers,M,02:20:54
85,Derek Sutherland,,M,02:20:56
86,Coll Williamson,EH Hare and Hounds,M,02:21:28
87,Chris Mountford,Corstorphine,M,02:21:30
88,Shona Mackie,,F,02:21:38
89,Stevie Allan,,M50,02:21:43
90,Keith Ainslie,Dumfries Harriers,M,02:22:30
91,Philip Larkman,,M50,02:22:35
92,Bob Still,Portobello Running Club,M,02:22:42
93,Tim Czopka,,M,02:23:19
94,Nigel Fawthrod,Carnethy HR,M,02:23:23
95,Matthew Ball,Carnethy,M,02:24:47
96,Roderick Pugh,Kilmarnock Harriers,M50,02:24:56
97,Shane Bouchier,Carnethy Hill Running Club,M,02:25:00
98,Ian McMillan,Portobello Running Club,M,02:25:05
99,Simon Johnston,Carnethy Hill Running Club,M,02:25:51
100,Russell Sommerford,Carnethy Hill Running Club,M,02:26:04
101,Diarmuid Cotter,,M,02:26:31
102,Duncan Baker,Hunters Bog Trotters,M50,02:26:42
103,Richard Sneddon,,M,02:26:44
104,Ed Dunbar,HELP,M,02:27:18
105,James Mane,,M,02:28:09
106,Stuart Low,,M,02:29:03
107,Andres Garcia Algarra,,M,02:29:04
108,Michael Nowicki,Carnethy Hill Running Club,M,02:29:17
109,Pascal den Hartog,EUR Roadrunners,M,02:29:42
110,Beverley Newman,,F,02:30:40
111,Mike Malcolm-Smith,Musselburgh & District AC,M,02:30:43
112,Lillian Macruary,Portobello Running club,F,02:30:50
113,Andrew Stavert,Portobello Running Club,M50,02:31:51
114,Mark Macrae,,M,02:31:56
115,John Moffat,Highland Hill Runners,M50,02:32:18
116,David Allwood,Portobello Running Club,M,02:32:39
117,Alex Wilson,,M,02:34:03
118,Glenn Tait,,M,02:34:12
119,Mary Hunter,Portobello Running Club,F50,02:35:40
120,Keith Colver,,M,02:36:17
121,Raphael Bleakley,,M,02:36:25
122,Stephen Boyce,Cross Garage / Strath Fire,M,02:37:54
123,Digby Maass,Carnethy HRC,M60,02:38:29
124,Nicki Innes,Carnethy Hill Running Club,F50,02:39:11
125,Andrew Innes,,M,02:39:21
126,Matteo Tesser,Carnethy HR,M,02:39:56
127,Jim Orr,,M,02:40:04
128,Eddie Schvlrekg,,M,02:43:16
129,Simon Castlle,,M,02:43:19
130,Debz way Hay,Anster Haddies Running Club,F50,02:43:39
131,Bob Lawende,EUR Roadrunners,M,02:44:36
132,Colin Jones,Lauderdale,M,02:45:59
133,Patricia Howieson,Carnethy HR,F,02:48:09
134,Mairead Kelly,H.B.T.,F,02:48:20
135,Paul Grice,ERC,M50,02:48:47
136,Simon Third,,M,02:48:48
137,Derek Elms,Portobello Running Club,M50,02:49:47
138,Daniel Mundo,,M,02:51:02
139,Paul Sleggs,,M,02:51:12
140,Martin Leadbetter,,M50,02:51:41
141,John Owens,Springburn Harriers,M50,02:52:38
142,Suzie Hannah,Lothian RC,F,02:57:04
143,Mohammed Khan,,M,03:01:06
144,Fergus Glynn,Burren Cycling Club,M,03:01:09
145,Liam Glynn,Burren Cycling Club,M,03:01:16
146,Robert Scully,Carnethy Hill Running Club,M,03:01:20
147,Bill Gauld,Carnethy,M70,03:03:19
148,Andrea Wilson,Penicuik Harriers,F,03:11:37
149,Susie Maxwell,Penicuik Harriers,F,03:11:39
150,Paul Pollard,Penicuik,M,03:11:42
