Position,Name,Club,Category,Time
1,Matt Bell,Edinburgh AC,M,01:40:39
2,David Simpson,Corstorphine,M,01:41:32
3,Andrew Wright,Carnegie H.,M,01:42:03
4,Christopher O'Brien,Corstorphine,M,01:43:48
5,Grant Wilkie,Corstorphine,M,01:45:25
6,Johnny Lawson,Portobello,M,01:47:13
7,Tom Ferrington,Corstorphine,M,01:48:03
8,Wull Hynd,Moorfoot Runners,M,01:50:10
9,Michael Reid,Moorfoot Runners,M,01:51:04
10,Gareth Green,Portobello,M,01:51:46
11,Michael Geoghegan,Portobello,M,01:52:17
12,Olly Stephenson,Carnethy HR,M,01:52:39
13,David Simmons,Lothian RC,M,01:54:05
14,Robin Galloway,Lothian RC,M,01:54:09
15,Mike Rudden,Carnethy HR,M,01:54:46
16,Jamie Thin,H.B.T.,M,01:56:22
17,Dougals Carstairs,Portobello,M,01:56:32
18,Fergus Johnston,Gala H.,M,01:56:55
19,James Britton,Moorfoot Runners,M,01:57:38
20,James Jarvis,H.B.T.,M,01:57:56
21,David White,Kilmarnock Harriers,M,01:59:21
22,Steven Best,,M,01:59:42
23,Garry Robertson,Edinburgh AC,M,02:00:33
24,Steven Prentice,,M,02:00:49
25,Harry A. Walton,Hare & Hounds,M,02:02:09
26,Robert Hendry,,M,02:03:03
27,Emanuel Heitlinger,LT Karlsruhe,M,02:03:06
28,Tom Barr,H.B.T.,M,02:03:09
29,Dermot Bailie,Edinburgh AC,M,02:03:12
30,Daniel Clarke,Mersey Tri,M,02:03:32
31,Paul Brennan,Edinburgh AC,M,02:03:36
32,Chris Mitchell,,M,02:03:58
33,P. Mack,Edinburgh AC,M40,02:04:10
34,Chris Huggett,,M,02:04:18
35,Tim Darlow,Carnethy HR,M,02:04:48
36,George Salmond,Portobello,M,02:04:59
37,Gavin Pugh,Mornington Chasers,M,02:05:47
38,Richard Bruton,,M,02:05:53
39,Michael Fullerton,Portobello,M,02:05:56
40,Stuart MacLeod,,M,02:06:11
41,Lucy Colquhoun,Carnethy HR,F,02:06:14
42,David Nield,Aegon,M,02:06:16
43,John Rathsen,H.B.T.,M,02:06:36
44,Ian McMillan,Portobello,M,02:06:38
45,Joanne Thom,Edinburgh AC,F,02:06:56
46,Graham Henry,Portobello,M,02:07:01
47,Robert Summers,Beacon Runners,M,02:07:03
48,Hamish Bell,Portobello,M,02:07:15
49,Gareth Gibb,,M,02:07:33
50,Derek Small,,M,02:07:40
51,Amanda Henderson,Portobello,F,02:07:44
52,Scott Williamson,Corstorphine,M,02:08:03
53,Martin Clarke,Gala H.,M40,02:08:06
54,Alan Kelly,Keuche,M,02:08:08
55,Matthew Alexander,,M,02:08:23
56,Chris Durn,Carnethy HR,M,02:08:32
57,Pete Burbanks,,M,02:09:00
58,Olivier Goury,Keuche,M,02:09:07
59,Alex Oliver,Musselburgh RC,M,02:09:12
60,Jeff Thornton,Footworks,M,02:09:24
61,William Mykura,Carnethy HR,M40,02:09:34
62,Pat Bartlett,Interlopers OC,M,02:09:37
63,Stuart Logan,Portobello,M40,02:10:10
64,Rob Coward,,M,02:10:46
65,Brendan Moriarty,Bellahouston RR,M,02:11:01
66,Jane Simpson,Bellahouston RR,F,02:11:03
67,Iain Shaw,Ferranti,M,02:11:18
68,Martin Caldwell,Corstorphine,M40,02:11:24
69,Richard Cockburn,Footworks,M,02:11:34
70,Konrad Rawlik,,M,02:12:19
71,Anthony Law,,M,02:12:23
72,Ross Millar,Footworks,M,02:12:35
73,Michael Anderson,Corstorphine,M,02:13:05
74,Alex Wilson,,M,02:13:23
75,Ricky Fraser,Portobello,M,02:13:27
76,Joris Wulfert,EUR Roadrunners,M,02:13:44
77,Kevin Graham,Edinburgh AC,M,02:13:50
78,Amelia Lloyd,,F,02:14:05
79,Ali-Star Quaile,"Hare & Hounds
Edinburgh ",M,02:14:08
80,Caroline McKay,Triathletes,F,02:14:49
81,Dan Beckett,H.B.T.,M,02:14:54
82,Nicholas Brown,Corstorphine,M,02:14:56
83,Juanma Cardenas-Maestre,,M,02:15:17
84,Alister Biggar,Teviotdale H,M,02:15:44
85,Jim Lowson,,M,02:15:56
86,Dhavala Stott,Sri Chinmoy,F,02:16:06
87,Kenneth Taylor,,M,02:16:45
88,Lisa Gamble,H.B.T.,F,02:16:53
89,Chris Hunter,,M,02:17:09
90,Nick Cruden,H.B.T.,M,02:17:30
91,Graeme Ross,Interlopers OC,M,02:17:58
92,Martin Leadbetter,,M40,02:20:32
93,Alistair Black,Kinross RR,M,02:20:46
94,Colin McPhail,Footworks,M40,02:21:01
95,Susan Johnston,Corstorphine,F,02:21:06
96,Phyllis O'Brien,H.B.T.,F50,02:21:28
97,Phil Smithard,Carnegie H.,M50,02:21:43
98,Richard Brown,,M,02:22:50
99,Ian McDougall,Carnethy,M,02:22:54
100,Barnaby Smith,,M,02:22:59
101,Keith Colver,,M,02:23:09
102,Matthew Brander,,M,02:23:17
103,Judith Dobson,Kinross RR,F50,02:23:19
104,Gordon Eadie,Musselburgh RC,M40,02:23:25
105,Alan McLeod,Fife AC,M50,02:23:49
106,Peter McNeil,,M,02:23:51
107,Finlay Finlay,,M,02:23:53
108,James McGregor,,M,02:23:55
109,Jacqueline Ramsay,Portobello,F,02:23:58
110,Jim MacGregor,Moray RR,M40,02:24:11
111,Andrew Fraser,Portobello,M,02:24:54
112,Ulf Seekamp,,M,02:24:57
113,Duncan Baker,H.B.T.,M40,02:24:59
114,Caroline Dunn,Harmeny,F,02:25:33
