Position,Name,Club,Category,Time
1,Stewart Whitlie,Carnethy,M,01:41:52
2,Graeme Ackland,Lothian RC,M,01:44:49
3,Ray Ward,HBT,M,01:46:23
4,Adam Ward,Carnethy,M,01:47:47
5,Keith Hood,Corstorphine,M,01:47:55
6,Tim Lenton,Lothian RC,M,01:50:48
7,Bruce Smith,Standard Life,M,01:51:46
8,Dominic R. Scott,Norham,M,01:52:05
9,Jamie Thin,Carnethy,M,01:54:13
10,Garry Macinnes,Carnethy,M,01:55:35
11,David Godfree,Lothian RC,M,01:57:42
12,Nicholas Young,Bristol Univ X-C,M,01:58:37
13,Martin Caldwell,Corstorphine,M50,01:58:48
14,Crawford Oliphant,Carnethy,M,01:59:16
15,Peter Buchanan,Portobello,M,01:59:19
16,Olly Stephenson,Carnethy,M,01:59:29
17,Martin Hulme,Corstorphine,M50,01:59:51
18,Graham Henry,Portobello,M,02:00:03
19,Bert Logan,Portobello,M,02:02:04
20,Martin Clarke,Gala H.,M,02:02:20
21,Gillian Godfree,Lothian RC,F,02:03:01
22,Malcolm Graham,L & B Police,M,02:04:14
23,Tertia Barnett,,F,02:04:29
24,John Blair-Fish,Carnethy,M50,02:05:19
25,Willie Jarvie,Portobello,M,02:05:33
26,Kenneth Taylor,,M,02:06:18
27,David Mason,Linlithgow,M,02:06:48
28,Ian Cumming,Corstorphine,M50,02:07:08
29,G. Macdonald,Kinlochleven,M,02:07:46
30,Paul Walker,Corstorphine,M,02:08:09
31,Claire Gordon,HBT,F,02:09:31
32,Neil Thomas,HBT,M,02:09:38
33,Nick James,Carnethy,M,02:09:53
34,Michael Brooks,,M,02:10:04
35,David J. Law,Corstorphine,M,02:10:12
36,Werner Kittel,Portobello,M50,02:10:17
37,Gordon Cameron,Carnethy,M,02:10:44
38,Garry Robertson,City of Edin.,M,02:11:47
39,Barry Spence,Teviotdale,M50,02:12:59
40,Gerry Scullion,Portobello,M,02:13:28
41,James Ruskin,,M,02:13:53
42,Maggie Keegan,,F,02:14:42
43,Murdo Mcewan,Carnethy,M50,02:15:31
44,Barry Paterson,,M,02:15:44
45,Colin Nichol,Teviotdale,M,02:16:27
46,Jim Macgregor,Moray RR,M50,02:16:32
47,Paul Eunson,Portobello,M,02:16:37
48,Ivor Normand,HBT,M,02:17:06
49,Brent Vivian,Corstorphine,M,02:17:49
50,Robert Cranston,Teviotdale,M,02:17:55
51,David Poyner,,M,02:17:58
52,Stephen Boyce,E. Kilbride AAC,M,02:18:19
53,Deborah Macdonald,HBT,F,02:19:29
54,K. Harper,,M,02:20:27
55,Alan O'Hare,,M,02:20:49
56,Shyamala Stott,Sri Chinmoy,F,02:22:01
57,Martin Fowler,Musselburgh,M,02:22:18
58,Barry Copeland,Lathallan sch.,M,02:22:20
59,R. Bushby,,M,02:22:29
60,Scott Jarvie,Portobello,M,02:22:42
61,John Young,E R C,M,02:22:46
62,M. Partridge,,M,02:22:51
63,? Ennington,,M,02:22:55
64,Gillian Mckelvie,Portobello,F45,02:23:11
65,Karen Young,Portobello,F,02:23:17
66,Bill Gauld,Carnethy,M70,02:23:21
67,Chris Downie,L & B Police,M,02:24:57
68,Andy Fife,City of Edin.,M,02:25:07
69,John Blair,Portobello,M,02:26:09
70,Stephen Horrocks,Merchiston sch.,M,02:26:36
71,James Felstead,,M,02:27:18
72,Scott S. A. Reed,L & B Fire B.,M,02:27:43
73,Dick Wall,HBT,M,02:27:50
74,John Hope,,M,02:28:14
75,John O'Hara,Corstorphine,M,02:28:21
76,Gavin Calder,Cosmics,M,02:29:28
77,Derek Spear,Moray RR,M,02:30:20
78,Joanne Anderson,Carnethy,F,02:30:30
79,Judith Dobson,Kinross RR,F45,02:31:10
80,Billy Duff,Carnegie H.,M50,02:31:49
81,Colin Williams,,M,02:31:51
82,Douglas Carmichael,,M,02:31:55
83,Keiran S. Allen,,M,02:31:58
84,Alison West,Carnegie H.,F45,02:32:08
85,Andrew Griffiths,City of Edin.,M50,02:32:10
86,Gordon Eadie,Musselburgh,M,02:32:49
87,David M. Edgar,Portobello,M,02:33:21
88,Sandy Low,Carnethy,M,02:33:37
89,Hilary Spenceley,Carnethy,F45,02:33:39
90,Ian Brodie,Portobello,M,02:34:54
91,Phyllis Mitchell,CAAC,F,02:36:19
92,Derek L. Johnstone,,M,02:36:48
93,Graham Stewart,,M,02:36:50
94,Nicki Innes,Carnethy,F,02:38:09
95,Rob Bloor,Interlopers,M,02:39:01
96,Joanne Thin,Carnethy,F,02:40:58
97,Michael Wilkinson,Carnethy,M,02:41:31
98,Jon Rathjen,HBT,M,02:42:21
99,Sandra Rathjen,HBT,F,02:42:21
100,Niina Kolehmainen,,F,02:44:14
101,Steve Pattison,Musselburgh,M,02:46:01
102,Ian Campbell,HBT,M,02:47:41
103,Eric Stevenson,City of Edin.,M50,02:48:08
104,Ian Marshall,HBT,M50,02:50:27
105,John Mcarthur,Carnegie H.,M60,02:53:56
106,Ken Daniels,Carnegie H.,M60,02:54:02
107,Gordon Mcdonald,Scot Vets,M,03:00:59
108,Iain Kelly,HBT,M,03:01:05
,,,,
