Position,Name,Club,Category,Time
1,Kenneth Taylor,,M,2.17.38
2,Nicol Fraser,,M,2.21.09
3,John Hope,,M,2.21.57
4,Derek Masson,,M,2.24.51
5,Colin Williams,,M,2.26.31
6,Rhoda Mcpherson,Standard Life,F,2.30.25
7,Billy Henderson,,M,2.32.27
8,Robert Henderson,Portobello,M,2.32.33
9,Kevin Rutherford,,M,2.34.11
10,Ben Carter,Portobello,M,2.34.43
11,Chris Connane,,M,2.34.47
12,Will Sowter,,M,2.34.50
13,Susan Hyatt,City of Edin,F,2.35.03
14,Fiona Dixon,City of Edin,F,2.36.42
15,Nigel Fawthrop,ESOC,M,2.37.44
16,James Traynor,Carnethy,M,2.37.52
17,Moira Murray,,F45,2.38.51
18,Seth Armitage,,M,2.38.57
19,John Donoghue,,M50,2.39.02
20,Sally Scott,Portobello,F,2.39.24
21,Derek Hyde,,M,2.39.39
22,Graeme Shilland,,M,2.39.54
23,Clunie Scott,,M,2.39.58
24,Quentin Ballantyne,,M,2.41.03
25,Julian Marshall,,M,2.41.24
26,Phil O'Kane,,M,2.41.52
27,Sandy Low,Corstorphine,M,2.43.27
28,Graham Leslie,,M,2.43.46
29,Mike Browne,Penicuik,M60,2.44.18
30,Bhautiya Moss,Sri Chinmoy,F,2.44.46
31,Grant Mccall,,M,2.45.16
32,Jack Lavender,,M,2.45.34
33,Susan Thompson,,F,2.46.21
34,Helen Kelly,,F,2.46.24
35,Jennifer Bruce,,F,2.46.26
36,Kenny Gilmore,,M,2.46.53
37,Gerald Higgins,,M,2.48.57
38,Robert Moffat,,M,2.49.13
39,Geoff Smith,,M,2.50.43
40,Marie-Elaine Maguire,Carnethy,F,2.53.44
41,Douglas Young,Portobello,M50,2.54.02
42,Joanne Kane,Sri Chinmoy,F,2.55.07
43,Mark Laird,,M,2.55.17
44,Wim Rampen,Carnethy,M,2.55.22
45,Luke Wadsley,,M,2.55.27
46,Kate James,Carnethy,F,3.00.11
47,Uranta Tom Kane,Sri Chinmoy,M,3.00.39
48,Lynn Bannwood,,F,3.01.45
49,Jamie Taylor,Carnethy,M50,3.02.04
50,Sheila Strain,ELO,F45,3.04.18
51,John Duthie,,M50,3.04.20
52,Jonathan Narro,,M,3.05.38
53,Stuart Kirk,,M,3.05.40
54,Kevin Reid,,M,3.08.13
55,Mark Robertson,,M,3.08.47
56,James Duffy,Corstorphine,M50,3.08.50
56,Susan Waddell,Corstorphine,F,3.08.50
58,Ina Donat,,F,3.11.11
59,Andrew Lyle,,M,3.13.04
60,Martin Irons,Edin Tri,M50,3.13.45
61,Moira Hutchison,,F55,3.14.42
62,Carole Quinn,,F,3.14.44
63,David Lane,Linlithgow OC,M50,3.15.19
64,Ortrud Lane,Linlithgow OC,F,3.15.19
65,Chris Winson,,M,3.16.30
66,Miles Hamilton,,M,3.16.32
67,James Blakely,Musselburgh,M,3.17.18
68,Donald Deans,Musselburgh,M,3.17.20
69,Roger Phillips,Musselburgh,M60,3.17.33
70,Iain Wood,,M,3.18.57
71,Callum Skea,,M,3.19.47
72,Bill Mckendrick,,M50,3.20.24
73,Karin Mckendrick,,F45,3.20.24
74,Niamh Troy,HBT,F,3.20.49
75,Ronald Mccormick,JW Kilmarnock,M60,3.23.26
76,Stan Da Prato,,M50,3.24.46
77,Cathy Forrest,,F,3.25.06
78,Byron Cox,,M,3.25.08
79,Zoe Leitch,Portobello,F,3.33.33
80,Cath Webster,Portobello,F45,3.34.04
81,Ronnie Sloan,,M60,3.34.51
82,Krzysztof Meinicke,,M,3.35.08
83,Janis Stirton,Portobello,F45,3.38.23
84,John Forker,Portobello,M,3.38.26
85,Janet Dalitz,Carnethy,F45,3.46.57
86,Ken Skea,,M,04:00:00
87,Martyn Stanton,,M,04:00:00
