Position,Name,Club,Category,Time
1,Tom Spencer,Dark Peak,M,00:27:30
2,Kieran Cooper,Carnethy HRC,M,00:30:03
3,Alistair Thornton,Ochil Hill Runners,M,00:30:55
4,Jack Reed,Ochil Hill Runners,M,00:33:20
5,Robin Wilkins,Ochil Hill Runners,M40,00:33:32
6,Chris Grant Pantrey,Queen's Park AC,M40,00:33:35
7,James MacLeod,Garscube Harriers,M40,00:34:45
8,James Connelly,Glasgow Uni H&H,M,00:35:14
9,Ella Peters,Westerlands CCC,F,00:35:28
10,Edward Watson,Queen's Park AC,M,00:36:34
11,Michael Delaney,Westerlands CCC,M,00:36:48
12,Hector Friend,Unattached,M,00:37:03
13,Ross Anderson,Westerlands CCC,M,00:37:03
14,Callum Roberts,Unattached,M,00:38:15
15,Chris King,Westerlands CCC,M,00:38:26
16,Scott Henderson,Westerlands CCC,M40,00:38:29
17,Malcolm Wilson,Westerlands CCC,M,00:38:53
18,Felton Humble,Westerlands CCC,M40,00:39:04
19,David Taggart,Hamilton Harriers,M40,00:39:10
20,Flora Henry,Glasgow Uni H&H,F,00:39:20
21,Ella Foreman,Westerlands CCC,F,00:39:38
22,Gordon Mackinnon,Lochaber AC,M50,00:39:49
23,Jude Greaves,Bowland Fell Runners,M,00:39:52
24,Scott Lever,Unattached,M,00:40:05
25,Don Reid,Westerlands CCC,M60,00:40:05
26,Liam Riggans,Carnethy HRC,M40,00:40:22
27,Richie Harkin,ATR,M40,00:40:41
28,Conor Kenny,Westerlands CCC,M,00:40:52
29,Amy Richards,Westerlands CCC,F,00:40:56
30,Paul Foster,Westerlands CCC,M,00:41:20
31,Robbie Martin,Unattached,M40,00:41:32
32,Rachael Macpherson,Lochaber AC,F,00:41:35
33,Micky Anderson,Westerlands CCC,M60,00:41:36
34,Ross Crawford,Queen's Park AC,M40,00:42:10
35,Kevin Nairn,Unattached,M50,00:42:18
36,John Stevenson,Ochil Hill Runners,M60,00:42:22
37,Alwyn Poulter,Westerlands ccc,M,00:42:31
38,Colin Williams,Moorfoot Runners,M50,00:42:50
39,Ali Black,Carnethy HRC,M40,00:42:56
40,Bryan Fitzpatrick,Dunnon Hill Runners,M40,00:43:10
41,Fraser Reid,Westerlands CCC,M,00:43:24
42,Ross McWhirter,Bellahouston Harriers,M,00:43:46
43,Stuart Brodie,Ochil Hill Runners,M40,00:44:07
44,Glen Fullarton,Unattached,M,00:44:07
45,Chris McGlennon,Westerlands CCC,M50,00:44:28
46,Christopher McKiddie,Dunbar AC,M40,00:45:13
47,Lewis Scremin,Unattached,M50,00:45:15
48,Peter McGowan,Westerlands CCC,M40,00:45:16
49,Matt Pearce,Troon Tortoises,M50,00:45:26
50,John McCabe,Troon Tortoises,M60,00:45:32
51,Soph Philbrick,Westerlands CCC,SA,00:45:45
52,Gaby Macbeth,Westerlands CCC,F40,00:46:00
53,Stuart Muir,Ayrshire Trail Runners,M40,00:46:36
54,Chris Furse,Westerlands CCC,M50,00:46:43
55,Mark Henderson,Kilmarnock Harriers,M,00:46:58
56,Ben Manesh,Unattached,M40,00:47:17
57,Michael Corson,Kilmarnock Harriers,M60,00:47:18
58,Daniel Williams,Westerlands CCC,M,00:47:47
59,Alice Gamble,Westerlands CCC,F,00:47:51
60,Greg Ptolomey,Unattached,M40,00:48:00
61,Colin Alcroft,Unattached,M40,00:48:24
62,Nicola Dawson,Westerlands CCC,F40,00:48:31
63,Graeme Cameron,Unattached,M40,00:48:32
64,Tommy Begley,Irvine Running Club,M50,00:48:33
65,Becky Price,Westerlands CCC,F,00:48:35
66,Craig Wigzell,Unattached,M50,00:49:08
67,Roderick Pugh,Kilmarnock Harriers,M70,00:49:44
68,Mark Caldwell,Ayr Seaforth AC,M50,00:50:22
69,John Donnelly,Ochil Hill Runners,M50,00:50:30
70,Alison Campbell,Westerlands CCC,F40,00:51:13
71,Jenny Peebles,Westerlands CCC,F40,00:51:18
72,Maya Wilson,Unattached,F,00:51:33
73,Simon Johnson,Ochil Hill Runners,M50,00:51:39
74,David Taylor,Stewarton Ultrarunners,M40,00:52:14
75,Daniel Price,Westerlands CCC,M40,00:52:33
76,Vanessa Harrison,Westerlands CCC,F,00:52:39
77,Iain Cogle,Helensburgh AAC,M40,00:52:42
78,Kay McGreevy,Unattached,F60,00:53:40
79,Lisa Grant,Unattached,F40,00:53:56
80,Sasha Ratcliffe,Ayr Seaforth AC,F50,00:53:57
81,Viki Smith,Greenock Glenpark H,F50,00:53:59
82,Susan Lindsay,Ochil Hill Runners,F50,00:54:12
83,Sarah Hollywell,HBT,F,00:54:28
84,Arthur Mulholland,East Kilbride AC,M60,00:55:03
85,Alison Wallace,Unattached,F,00:56:22
86,Anna Vincett,Westerlands CCC,F,00:57:27
87,Boyd Houston,Unattached,MU18,01:00:13
88,Graeme Stevenson,North Ayrshire TTC,M60,01:00:23
89,Jan Timmermann,Westerlands CCC,M50,01:01:04
90,Andrew Fullwood,Westerlands CCC,M50,01:01:36
91,Wiebke Lammers,Westerlands CCC,F40,01:02:00
92,Marina Ganglberger,North Ayrshire AC,F40,01:02:21
93,Anne Noble,Troon Tortoises,F60,01:03:42
94,Neil Wallace,Unattached,M,01:08:24
95,Alex King,Ochil Hill Runners,M60,01:10:21
96,Greg Bowie,Wick warriors,M50,01:10:37
97,John Norrington,Kirkintilloch Olympians,M,01:13:49
98,Allyson Hair,Unattached,F,01:18:32
99,Nathalie Smith,Greenock Glenpark H,F50,01:19:56
100,Susan Rhodes,Irvine Running Club,F60,01:40:52
101,Karen Adams,Unattached,F40,01:40:52
